0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,Apr /15 - Jun /15,,5301394,5139047,3.2%
2.External debt,` Crore,Apr /15 - Jun /15,,410547.94,400734,2.4%
3.Internal debt,` Crore,Apr /15 - Jun /15,,4890846,4738313,3.2%
4 Other liabilities,` Crore,Apr /15 - Jun /15,,687746,655486,4.9%
5. TOTAL DEBT (1+4),` Crore,Apr /15 - Jun /15,,5989140,5794533,3.4%
Guaranteed debt,,,,,,
1.Total guaranteed debt,` Crore,Apr /15 - Jun /15,,289126,294371,-1.8%
II.Outstanding guaranteed debt,` Crore,Apr /15 - Jun /15,,263102,248023,6.1%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,Unit Description Date of Latest,Observation***,"Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i)Market loans,,Crore of `,Q2 2015,3999634.88,3891708.82,
(ii) Market loans in course of repayment,,Crore of `,Q2 2015,21.50,153.06,
(iii) Cash Management Bills,,Crore of `,Q2 2015,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q2 2015,187039.20,128961.47,
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q2 2015,0.00,0.00,
"(vi)  Special Securities converted into Marketable 
Securities",,Crore of `,Q2 2015,67817.95,67817.95,
(vii) Other Special Securities issued to RBI,,Crore of `,Q2 2015,1489.28,1489.28,
(viii) 14 day Treasury Bills,,Crore of `,Q2 2015,69557.25,85678.37,
(ix) 182 day Treasury Bills,,Crore of `,Q2 2015,77783.94,77337.37,
(x)Market Stabilisation Bills/Bonds,,Crore of `,Q2 2015,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q2 2015,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q2 2015,148053.33,143152.18,
"(xiii) Gold Bonds, 1998.",,Crore of `,Q2 2015,0.00,0.00,
(xiv) Compensation & other bonds,,Crore of `,Q2 2015,33882.49,34228.61,
"(xv) Securities issued to International Financial 
Institutions",,Crore of `,Q2 2015,44633.00,46395.06,
(xvi) Securities against Small Savings,,Crore of `,Q2 2015,100552.77,101010.85,
"(xvii)Spl.GOI Sec.issued to NSSF against  
reinvestment of Central Govt. Securities",,Crore of `,Q2 2015,160380.34,160380.34,
Total-Internal debt,,Crore of `,Q2 2015,4890845.93,4738313.36,
2.External debt #,,Crore of `,Q2 2015,410547.94,400733.62,
Total Public debt,,Crore of `,Q2 2015,5301393.87,5139046.98,
B. Other liabilities,,Crore of `,Q2 2015,687745.77,655486.37,
1. National Small Savings Fund,,Crore of `,Q2 2015,23603.87,17759.26,
2 . State Provident Funds,,Crore of `,Q2 2015,156003.72,150431.18,
3. Other Accounts,,Crore of `,Q2 2015,316841.98,316303.29,
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q2 2015,103562.21,103596.69,
(ii) Other items.,,Crore of `,Q2 2015,213279.77,212706.60,
4. Reserve Funds & Deposits,,Crore of `,Q2 2015,191296.20,170992.64,
(i) Bearing interest,,Crore of `,Q2 2015,106766.79,105134.13,
(ii) Not bearing interest,,Crore of `,Q2 2015,84529.41,65858.51,
TOTAL DEBT,,Crore of `,Q2 2015,5989139.64,5794533.35,
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q2 2015,289125.88,294370.93,
(ii) Outstanding guaranteed debt,,Crore of `,Q2 2015,263101.77,248023.33,
"Note: * Current, ** Previous, ***Q 2= Second  Quarter  (April -June 2015)",,,,,,
http://finmin.nic.in/the_ministry/dept_eco_affairs/middle_office/debt_stat.asp,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-June 2015.,,,,,,
