0,1,2,3,4,5,6
,,FISCAL SECTOR,,,,
SDDS DATA CATEGORY AND,Foot notes Unit,,Date of,Data Observations,,More
COMPONENT,,Description,Latest,Latest,Latest,info
,,,Observation,Data*,Data-1**,
CENTRAL GOVERNMENT DEBT,,,***,,,Metadata
,,,,,,Home
A. Public debt,,,,,,
1.Internal debt,,,,,,
(i)Market loans,,Crore of Rs,Q3 2005,811029.7,786384.35,
(ii) Market loans in course of repayment,,Crore of Rs,Q3 2005,677.39,7432.88,
(iii) 91 day Treasury Bills,,Crore of Rs,Q3 2005,12592.92,10544.32,
(iv) 91 day T.Bs funded into Spl Securities,,Crore of Rs,Q3 2005,0,0.00,
(v)  Special Securities converted into,,,,,,
Marketable Securities,,Crore of Rs,Q3 2005,111817.95,111817.95,
(vi) Other Special Securities issued to RBI,,Crore of Rs,Q3 2005,1517.23,1517.23,
(vii) 14 day Treasury Bills,,Crore of Rs,Q3 2005,36049.42,28390.58,
(viii) 182 day Treasury Bills,,Crore of Rs,Q3 2005,6978.5,3156.94,
(ix)Market Stabilisation Bills/Bonds,,Crore of Rs,Q3 2005,67327.57,71680.65,
(x) Ways and Means Advances,,Crore of Rs,Q3 2005,0,0.00,
(xi) 364 day Treasury Bills,,Crore of Rs,Q3 2005,26572.64,26320.32,
"(xii) Gold Bonds, 1998.",,Crore of Rs,Q3 2005,0,0.00,
(xiii) Compensation & other bonds,,Crore of Rs,Q3 2005,71312.54,68876.56,
(xiv) Securities issued to Inter-national,,Crore of Rs,Q3 2005,22193.42,21589.91,
Financial Institutions,,,,,,
(xv) Securities against Small Savings,,Crore of Rs,Q3 2005,202096.75,202174.34,
Total-Internal debt,,Crore of Rs,Q3 2005,1370166.03,1339886.03,
2.External debt,,Crore of Rs,Q3 2005,187634.3,186533.60,
Total Public debt,,Crore of Rs,Q3 2005,1557800.33,1526419.63,
B. Other liabilities,,Crore of Rs,Q3 2005,356321.31,350770.29,
1. National Small Savings Fund,,Crore of Rs,Q3 2005,4501.38,5110.07,
2 . State Provident Funds,,Crore of Rs,Q3 2005,61582.89,61293.04,
3. Other Accounts,,Crore of Rs,Q3 2005,186436.98,185692.07,
(i) Special Deposits of Non-Government,,Crore of Rs,Q3 2005,118468.97,118575.38,
"Provident Funds,etc.",,,,,,
(ii) Other items.,,Crore of Rs,Q3 2005,67968.01,67116.69,
4. Reserve Funds & Deposits,,Crore of Rs,Q3 2005,103800.06,98675.11,
(i) Bearing interest,,Crore of Rs,Q3 2005,47447.03,46775.86,
(ii) Not bearing interest,,Crore of Rs,Q3 2005,56353.03,51899.25,
TOTAL DEBT,,Crore of Rs,Q3 2005,1914121.64,1877189.92,
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of Rs,Q3 2005,234869.01,161784.69,
(ii) Outstanding guaranteed debt,,Crore of Rs,Q3 2005,88683.79,108070.77,
"Note: * Current, ** Previous,  ***Q3= GThird Qtr  (July-September)",,,,,,
http://finmin.nic.in/stats_data/central_govt_borrowingsdata_index.html.,,,,,,
