0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT Unit of,Description,Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,April/14 - June/14,,4827486,4653458,3.7%
2.External debt,` Crore,April/14 - June/14,,412514,412691,0.0%
3.Internal debt,` Crore,April/14 - June/14,,4414972,4240767,4.1%
4 Other liabilities,` Crore,April/14 - June/14,,663278,657623,0.9%
5. TOTAL DEBT (1+4),` Crore,April/14 - June/14,,5490763,5311081,3.4%
Guaranteed debt,,,,,,
1.Total guaranteed debt,` Crore,April/14 - June/14,,219284,298736,-26.6%
II.Outstanding guaranteed debt,` Crore,April/14 - June/14,,172822,231697,-25.4%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT Foot notes,,Unit Description Date of Latest,Observation***,"Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i)Market loans,,Crore of `,Q2 2014,3569330.03,3441443.06,
(ii) Market loans in course of repayment,,Crore of `,Q2 2014,97.83,198.31,
(iii) Cash Management Bills,,Crore of `,Q2 2014,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q2 2014,170199.93,125760.61,
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q2 2014,0.00,0.00,
"(vi)  Special Securities converted into 
Marketable Securities",,Crore of `,Q2 2014,72817.95,72817.95,
(vii) Other Special Securities issued to RBI,,Crore of `,Q2 2014,1489.28,1489.28,
(viii) 14 day Treasury Bills,,Crore of `,Q2 2014,85121.27,86815.77,
(ix) 182 day Treasury Bills,,Crore of `,Q2 2014,76414.78,76417.43,
(x)Market Stabilisation Bills/Bonds,,Crore of `,Q2 2014,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q2 2014,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q2 2014,140380.86,136956.26,
"(xiii) Gold Bonds, 1998.",,Crore of `,Q2 2014,0.00,0.00,
(xiv) Compensation & other bonds,,Crore of `,Q2 2014,34475.31,34521.84,
"(xv) Securities issued to International 
Financial Institutions",,Crore of `,Q2 2014,35790.76,35181.05,
(xvi) Securities against Small Savings,,Crore of `,Q2 2014,98551.45,98863.03,
"(xvii)Spl.GOI Sec.issued to NSSF against  
reinvestment of Central Govt. Securities",,Crore of `,Q2 2014,130302.34,130302.34,
Total-Internal debt,,Crore of `,Q2 2014,4414971.79,4240766.93,
2.External debt #,,Crore of `,Q2 2014,412513.79,412691.04,
Total Public debt,,Crore of `,Q2 2014,4827485.58,4653457.97,
B. Other liabilities,,Crore of `,Q2 2014,663277.52,657623.23,
1. National Small Savings Fund,,Crore of `,Q2 2014,34563.66,29207.24,
2 . State Provident Funds,,Crore of `,Q2 2014,143786.71,139921.96,
3. Other Accounts,,Crore of `,Q2 2014,317165.22,334572.71,
"(i) Special Deposits of Non-Government 
Provident Funds,etc.",,Crore of `,Q2 2014,102548.26,102674.34,
(ii) Other items.,,Crore of `,Q2 2014,214616.96,231898.37,
4. Reserve Funds & Deposits,,Crore of `,Q2 2014,167761.93,153921.32,
(i) Bearing interest,,Crore of `,Q2 2014,93530.83,97797.46,
(ii) Not bearing interest,,Crore of `,Q2 2014,74231.10,56123.86,
TOTAL DEBT,,Crore of `,Q2 2014,5490763.10,5311081.20,
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q2 2014,219284.43,298736.27,
(ii) Outstanding guaranteed debt,,Crore of `,Q2 2014,172821.70,231696.82,
"Note: * Current, ** Previous, ***Q 2= Second Quarter  (April - June 2014)",,,,,,
http://finmin.nic.in/the_ministry/dept_eco_affairs/middle_office/debt_stat.asp,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-June 2014.,,,,,,
