0,1,2,3,4,5
,,FISCAL SECTOR,,,
SDDS DATA CATEGORY AND,Foot notes,Unit,Date of,Data Observations,
COMPONENT,,Description,Latest,Latest,Latest
,,,Observation***,Data*,Data-1**
CENTRAL GOVERNMENT DEBT,,,,,
,,,,,
A. Public debt,,,,,
1.Internal debt,,,,,
(i)Market loans,,Crore of Rs,Q2 2006,885494.97,861909.51
(ii) Market loans in course of repayment,,Crore of Rs,Q2 2006,2370.57,461.36
(iii) 91 day Treasury Bills,,Crore of Rs,Q2 2006,14701.92,16363.83
(iv) 91 day T.Bs funded into Spl Securities,,Crore of Rs,Q2 2006,0,0
(v)  Special Securities converted into,,Crore of Rs,Q2 2006,103784.58,103817.95
Marketable Securities,,,,,
(vi) Other Special Securities issued to RBI,,Crore of Rs,Q2 2006,1489.29,1517.23
(vii) 14 day Treasury Bills,,Crore of Rs,Q2 2006,42228.79,39339.54
(viii) 182 day Treasury Bills,,Crore of Rs,Q2 2006,8431.56,6771.37
(ix)Market Stabilisation Bills/Bonds,,Crore of Rs,Q2 2006,33294.5,29062.17
(x) Ways and Means Advances,,Crore of Rs,Q2 2006,0,0
(xi) 364 day Treasury Bills,,Crore of Rs,Q2 2006,31265.03,29014.42
"(xii) Gold Bonds, 1998.",,Crore of Rs,Q2 2006,0,0
(xiii) Compensation & other bonds,,Crore of Rs,Q2 2006,73070.11,72760.59
(xiv) Securities issued to Inter-national,,Crore of Rs,Q2 2006,25125.00,25152.38
Financial Institutions,,,,,
(xv) Securities against Small Savings,,Crore of Rs,Q2 2006,201624.08,201821.67
(xvi)Spl.GOI Sec.issued to NSSFagainst reinvestment,,,,1796.00,0
of Central Govt. Securities,,,,,
Total-Internal debt,,Crore of Rs,Q2 2006,1424676.40,1387992.02
2.External debt,,Crore of Rs,Q2 2006,204703.50,194072.73
Total Public debt,,Crore of Rs,Q2 2006,1629379.90,1582064.75
B. Other liabilities,,Crore of Rs,Q2 2006,393817.81,383403.25
1. National Small Savings Fund,,Crore of Rs,Q2 2006,4025.39,6946.12
2 . State Provident Funds,,Crore of Rs,Q2 2006,66660.09,62419.43
3. Other Accounts,,Crore of Rs,Q2 2006,205570.06,204531.46
(i) Special Deposits of Non-Government,,Crore of Rs,Q2 2006,118156.27,118279.48
"Provident Funds,etc.",,,,,
(ii) Other items.,,Crore of Rs,Q2 2006,87413.79,86251.98
4. Reserve Funds & Deposits,,Crore of Rs,Q2 2006,117562.27,109506.24
(i) Bearing interest,,Crore of Rs,Q2 2006,54241.84,53406.89
(ii) Not bearing interest,,Crore of Rs,Q2 2006,63320.43,56099.35
TOTAL DEBT,,Crore of Rs,Q2 2006,2023197.71,1965468.00
Guaranteed debt,,,,,
(i) Total guaranteed debt,,Crore of Rs,Q2 2006,121464.72,235031.85
(ii) Outstanding guaranteed debt,,Crore of Rs,Q2 2006,110930.27,92789.33
"Note: * Current, ** Previous,  ***Q2= Second Qtr  (April-June, 2006)",,,,,
http://finmin.nic.in/stats_data/central_govt_borrowingsdata_index.html.,,,,,
