0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,Oct/19 - Dec/19,,"84,89,378.48","82,05,988.87",3.5%
2. External debt,` Crore,Oct/19 - Dec/19,,"5,53,081.08","5,40,425.71",2.3%
3. Internal debt,` Crore,Oct/19 - Dec/19,,"79,36,297.40","76,65,563.16",3.5%
4. Other liabilities,` Crore,Oct/19 - Dec/19,,"8,99,889.16","8,95,495.27",0.5%
5. TOTAL DEBT (1+4),` Crore,Oct/19 - Dec/19,,"93,89,267.64","91,01,484.14",3.2%
Guaranteed debt,,,,,,
I.  Total guaranteed debt^,` Crore,Oct/19 - Dec/19,,"3,85,085.46","3,85,085.46",
II. Outstanding guaranteed debt^,` Crore,Oct/19 - Dec/19,,"3,18,958.67","3,18,958.67",
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,"Unit 
Description","Date of Latest 
Observation***","Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i) Market loans,,Crore of `,Q4 2019,"60,40,776.48","58,47,520.26",
(ii) Market loans in course of repayment,,Crore of `,Q4 2019,20.54,20.54,
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of `,Q4 2019,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q4 2019,"1,91,887.72","1,75,471.58",
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q4 2019,0.00,0.00,
"(vi) Special Securities converted into Marketable 
Securities",,Crore of `,Q4 2019,"40,687.95","40,687.95",
(vii) Other Special Securities issued to RBI,,Crore of `,Q4 2019,0.00,0.00,
(viii) 14 day Treasury Bills,,Crore of `,Q4 2019,"1,33,158.22","1,27,242.81",
(ix) 182 day Treasury Bills,,Crore of `,Q4 2019,"1,23,910.64","1,63,532.70",
(x) Market stabilisation Scheme,,Crore of `,Q4 2019,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q4 2019,"40,346.00",0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q4 2019,"1,98,790.00","2,07,824.00",
(xiii) Gold Bonds ^^,,Crore of `,Q4 2019,"12,277.57","11,167.87",
(xiv) Compensation & other bonds,,Crore of `,Q4 2019,"71,342.58","69,314.03",
(xv) Securities issued to International Financial,,Crore of `,Q4 2019,"1,01,712.04","1,01,767.97",
(xvi) Securities against Small Savings,,Crore of `,Q4 2019,"7,30,023.66","6,70,199.45",
(xvii) Cash Management Bills,,Crore of `,Q4 2019,0.00,0.00,
(xviii) Special Securities Issued to Public Sector Banks,,Crore of `,Q4 2019,"2,51,364.00","2,50,814.00",
Total-Internal debt,,Crore of `,Q4 2019,"79,36,297.40","76,65,563.16",
2. External debt #,,Crore of `,Q4 2019,"5,53,081.08","5,40,425.71",
Total Public debt,,Crore of `,Q4 2019,"84,89,378.48","82,05,988.87",
B. Other Liabilities,,Crore of `,Q4 2019,"8,99,889.16","8,95,495.27",
1.  National Small Savings Fund,,Crore of `,Q4 2019,"93,418.04","86,986.84",
2. State Provident Funds,,Crore of `,Q4 2019,"2,20,402.53","2,19,421.65",
3. Other Accounts,,Crore of `,Q4 2019,"3,26,056.70","3,27,873.63",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q4 2019,"1,01,745.68","1,01,809.43",
(ii) Other items.,,Crore of `,Q4 2019,"2,24,311.02","2,26,064.20",
4. Reserve Funds & Deposits,,Crore of `,Q4 2019,"2,60,011.89","2,61,213.15",
(i) Bearing interest,,Crore of `,Q4 2019,"1,66,597.91","1,64,902.46",
(ii) Not bearing interest,,Crore of `,Q4 2019,"93,413.98","96,310.69",
TOTAL DEBT,,Crore of `,Q4 2019,"93,89,267.64","91,01,484.14",
Guaranteed debt,,,,,,
(i) Total guaranteed debt^,,Crore of `,Q4 2019,"3,85,085.46","3,85,085.46",
(ii) Outstanding guaranteed debt^,,Crore of `,Q4 2019,"3,18,958.67","3,18,958.67",
"Note: * Current, ** Previous, ***Q4= Fourth Quarter  (Oct - Dec 2019)",,,,,,
https://dea.gov.in/central-government-borrowings,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-December 2019,,,,,,
^ Data pertains to Q3 2019,,,,,,
^^ Includes Gold Monetisation Scheme,,,,,,
