0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,Apr/20 - Jun/20,,"92,28,712.16","86,05,283.75",7.2%
2. External debt,` Crore,Apr/20 - Jun/20,,"6,25,055.55","5,85,324.65",6.8%
3. Internal debt,` Crore,Apr/20 - Jun/20,,"86,03,656.61","80,19,959.10",7.3%
4. Other liabilities,` Crore,Apr/20 - Jun/20,,"9,06,887.40","8,56,980.98",5.8%
5. TOTAL DEBT (1+4),` Crore,Apr/20 - Jun/20,,"1,01,35,599.56","94,62,264.73",7.1%
Guaranteed debt,,,,,,
I.  Total guaranteed debt,` Crore,Apr/20 - Jun/20,,"4,58,058.02","5,31,240.26",
II. Outstanding guaranteed debt,` Crore,Apr/20 - Jun/20,,"3,48,901.42","3,18,958.67",
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,"Unit 
Description","Date of Latest 
Observation***","Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i) Market loans,,Crore of `,Q2 2020,"62,00,794.02","59,85,885.05",
(ii) Market loans in course of repayment,,Crore of `,Q2 2020,19.15,18.97,
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of `,Q2 2020,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q2 2020,"1,99,596.13","82,583.39",
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q2 2020,0.00,0.00,
"(vi) Special Securities converted into Marketable 
Securities",,Crore of `,Q2 2020,"35,687.95","35,687.95",
(vii) Other Special Securities issued to RBI,,Crore of `,Q2 2020,0.00,0.00,
(viii) 14 day Treasury Bills,,Crore of `,Q2 2020,"1,47,912.70","1,54,910.84",
(ix) 182 day Treasury Bills,,Crore of `,Q2 2020,"2,81,636.60","1,58,156.60",
(x) Market stabilisation Scheme,,Crore of `,Q2 2020,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q2 2020,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q2 2020,"3,20,130.00","2,17,670.00",
(xiii) Gold Bonds ^,,Crore of `,Q2 2020,"17,166.20","13,387.94",
(xiv) Compensation & other bonds,,Crore of `,Q2 2020,"82,337.83","74,119.62",
"(xv) Securities issued to International Financial 
Institutions",,Crore of `,Q2 2020,"95,998.87","1,02,271.94",
(xvi) Securities against Small Savings,,Crore of `,Q2 2020,"8,76,029.56","8,48,919.20",
(xvii) Cash Management Bills,,Crore of `,Q2 2020,"80,000.00","80,000.00",
(xviii) Special Securities Issued to Public Sector Banks,,Crore of `,Q2 2020,"2,66,347.60","2,66,347.60",
Total-Internal debt,,Crore of `,Q2 2020,"86,03,656.61","80,19,959.10",
2. External debt #,,Crore of `,Q2 2020,"6,25,055.55","5,85,324.65",
Total Public debt,,Crore of `,Q2 2020,"92,28,712.16","86,05,283.75",
B. Other Liabilities,,Crore of `,Q2 2020,"9,06,887.40","8,56,980.98",
1.  National Small Savings Fund,,Crore of `,Q2 2020,"51,514.17","18,952.86",
2. State Provident Funds,,Crore of `,Q2 2020,"2,36,908.39","2,28,194.11",
3. Other Accounts,,Crore of `,Q2 2020,"3,29,849.76","3,28,602.16",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q2 2020,"1,01,078.58","1,01,465.94",
(ii) Other items.,,Crore of `,Q2 2020,"2,28,771.18","2,27,136.22",
4. Reserve Funds & Deposits,,Crore of `,Q2 2020,"2,88,615.08","2,81,231.85",
(i) Bearing interest,,Crore of `,Q2 2020,"1,61,616.80","1,60,827.33",
(ii) Not bearing interest,,Crore of `,Q2 2020,"1,26,998.28","1,20,404.52",
TOTAL DEBT,,Crore of `,Q2 2020,"1,01,35,599.56","94,62,264.73",
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q2 2020,"4,58,058.02","5,31,240.26",
(ii) Outstanding guaranteed debt,,Crore of `,Q2 2020,"3,48,901.42","3,18,958.67",
"Note: * Current, ** Previous, ***Q2= Second Quarter  (Apr -Jun 2020)",,,,,,
https://dea.gov.in/central-government-borrowings,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-June 2020,,,,,,
^ Includes Gold Monetisation Scheme,,,,,,
