0,1,2,3,4,5,6
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
"SDDS DATA CATEGORY AND 
COMPONENT",Foot notes,Unit Description,"Date of Latest 
Observation***","Data Observations 
Latest Data*","Data Observations 
Latest Data-1**","More info 
Metadata Home"
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i)Market loans,,Crore of Rs,Q2 2012,2628937.34,2516511.45,
(ii) Market loans in course of repayment,,Crore of Rs,Q2 2012,440.66,645.79,
(iii) Cash Management Bills,,Crore of Rs,Q2 2012,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of Rs,Q2 2012,165431.54,124655.78,
(v) 91 day T.Bs funded into Spl Securities,,Crore of Rs,Q2 2012,0.00,0.00,
"(vi)  Special Securities converted into 
Marketable Securities",,Crore of Rs,Q2 2012,76817.95,76817.95,
(vii) Other Special Securities issued to RBI,,Crore of Rs,Q2 2012,1489.28,1489.28,
(viii) 14 day Treasury Bills,,Crore of Rs,Q2 2012,65590.71,97800.22,
(ix) 182 day Treasury Bills,,Crore of Rs,Q2 2012,58000.00,52001.25,
(x)Market Stabilisation Bills/Bonds,,Crore of Rs,Q2 2012,0.00,0.00,
(xi) Ways and Means Advances,,Crore of Rs,Q2 2012,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of Rs,Q2 2012,105550.74,90377.74,
"(xiii) Gold Bonds, 1998.",,Crore of Rs,Q2 2012,0.00,0.00,
(xiv) Compensation & other bonds,,Crore of Rs,Q2 2012,30763.92,25714.22,
"(xv) Securities issued to International Financial 
Institutions",,Crore of Rs,Q2 2012,29063.46,29625.59,
(xvi) Securities against Small Savings,,Crore of Rs,Q2 2012,97516.89,97828.47,
"(xvii)Spl.GOI Sec.issued to NSSF against  
reinvestment of Central Govt. Securities",,Crore of Rs,Q2 2012,110354.34,110354.34,
Total-Internal debt,,Crore of Rs,Q2 2012,3369956.83,3223822.08,
2.External debt #,,Crore of Rs,Q2 2012,393306.75,354421.55,
Total Public debt,,Crore of Rs,Q2 2012,3763263.58,3578243.63,
B. Other liabilities,,Crore of Rs,Q2 2012,607119.06,595130.09,
1. National Small Savings Fund,,Crore of Rs,Q2 2012,12591.44,7599.21,
2 . State Provident Funds,,Crore of Rs,Q2 2012,123256.73,119685.33,
3. Other Accounts,,Crore of Rs,Q2 2012,333410.08,332152.42,
"(i) Special Deposits of Non-Government 
Provident Funds,etc.",,Crore of Rs,Q2 2012,101867.23,103030.88,
(ii) Other items.,,Crore of Rs,Q2 2012,231542.85,229121.54,
4. Reserve Funds & Deposits,,Crore of Rs,Q2 2012,137860.81,135693.13,
(i) Bearing interest,,Crore of Rs,Q2 2012,73530.54,71806.12,
(ii) Not bearing interest,,Crore of Rs,Q2 2012,64330.27,63887.01,
TOTAL DEBT,,Crore of Rs,Q2 2012,4370382.64,4173373.72,
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of Rs,Q2 2012,160350.80,189753.89,
(ii) Outstanding guaranteed debt,,Crore of Rs,Q2 2012,150781.40,170620.94,
"Note: * Current (data are provisional), ** Previous, ***Q =  Second Qtr  (April-June, 2012)  
http://finmin.nic.in/stats_data/central_govt_borrowingsdata_index.html.
# Includes net cumulative SDR allocation and accrued interest  thereon at end-June 2012.",,,,,,
