0,1,2,3,4,5,6,7
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]",,,,,,,
Central Government Debt [CGD],,,,,,,
"SDDS DATA CATEGORY AND 
COMPONENT",,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),,` Crore,Oct/13-Dec/13,,4629689,4488904,3.1%
2.External debt,,` Crore,Oct/13-Dec/13,,416424,422394,-1.4%
3.Internal debt,,` Crore,Oct/13-Dec/13,,4213265,4066511,3.6%
4 Other liabilities,,` Crore,Oct/13-Dec/13,,648035,648030,0.0%
5. TOTAL DEBT (1+4),,` Crore,Oct/13-Dec/13,,5277724,5136934,2.7%
Guaranteed debt,,,,,,,
1.Total guaranteed debt,,` Crore,Oct/13-Dec/13,,273521,263125,3.8%
II.Outstanding guaranteed debt,,` Crore,Oct/13-Dec/13,,231489,233127,-0.7%
,,,,,,,
FISCAL SECTOR,,,,,,,
FISCAL SECTOR,,,,,,,
"SDDS DATA CATEGORY AND 
COMPONENT",,Foot notes,Unit Description Date of Latest,Observation***,"Data 
Observations 
Latest Data*","Data 
Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,,
A. Public debt,,,,,,,
1.Internal Debt,,,,,,,
(i)Market loans,,,Crore of `,Q4 2013,3422247.04,3257173.13,
(ii) Market loans in course of repayment,,,Crore of `,Q4 2013,417.08,418.01,
(iii) Cash Management Bills,,,Crore of `,Q4 2013,0.00,52000.00,
(iv) 91 day Treasury Bills,,,Crore of `,Q4 2013,154925.14,156645.96,
(v) 91 day T.Bs funded into Spl Securities,,,Crore of `,Q4 2013,0.00,0.00,
"(vi)  Special Securities converted into 
Marketable Securities",,,Crore of `,Q4 2013,72817.95,72817.95,
(vii) Other Special Securities issued to RBI,,,Crore of `,Q4 2013,1489.28,1489.28,
(viii) 14 day Treasury Bills,,,Crore of `,Q4 2013,72614.39,50007.25,
(ix) 182 day Treasury Bills,,,Crore of `,Q4 2013,67099.23,61102.83,
(x)Market Stabilisation Bills/Bonds,,,Crore of `,Q4 2013,0.00,0.00,
(xi) Ways and Means Advances,,,Crore of `,Q4 2013,0.00,0.00,
(xii) 364 day Treasury Bills,,,Crore of `,Q4 2013,136913.85,131014.22,
"(xiii) Gold Bonds, 1998.",,,Crore of `,Q4 2013,0.00,0.00,
(xiv) Compensation & other bonds,,,Crore of `,Q4 2013,34574.76,34620.07,
"(xv) Securities issued to International 
Financial Institutions",,,Crore of `,Q4 2013,34247.40,33035.10,
(xvi) Securities against Small Savings,,,Crore of `,Q4 2013,95636.72,95904.37,
"(xvii)Spl.GOI Sec.issued to NSSF against  
reinvestment of Central Govt. Securities",,,Crore of `,Q4 2013,120282.34,120282.34,
Total-Internal debt,,,Crore of `,Q4 2013,4213265.18,4066510.51,
2.External debt #,,,Crore of `,Q4 2013,416424.25,422393.92,
Total Public debt,,,Crore of `,Q4 2013,4629689.43,4488904.43,
B. Other liabilities,,,Crore of `,Q4 2013,648034.77,648029.58,
1. National Small Savings Fund,,,Crore of `,Q4 2013,45646.68,48237.39,
2 . State Provident Funds,,,Crore of `,Q4 2013,134875.26,133882.39,
3. Other Accounts,,,Crore of `,Q4 2013,330637.14,329246.52,
"(i) Special Deposits of Non-Government 
Provident Funds,etc.",,,Crore of `,Q4 2013,101683.50,101769.83,
(ii) Other items.,,,Crore of `,Q4 2013,228953.64,227476.69,
4. Reserve Funds & Deposits,,,Crore of `,Q4 2013,136875.69,136663.28,
(i) Bearing interest,,,Crore of `,Q4 2013,82723.86,83190.02,
(ii) Not bearing interest,,,Crore of `,Q4 2013,54151.83,53473.26,
TOTAL DEBT,,,Crore of `,Q4 2013,5277724.20,5136934.01,
Guaranteed debt,,,,,,,
(i) Total guaranteed debt,,,Crore of `,Q4 2013,273521.06,263124.67,
(ii) Outstanding guaranteed debt,,,Crore of `,Q4 2013,231489.17,233127.05,
"Note: * Current, ** Previous, ***Q 4=Fourth Quarter  (Oct.-Dec. 2013)",,,,,,,
http://finmin.nic.in/the_ministry/dept_eco_affairs/middle_office/debt_stat.asp,,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-December 2013.,,,,,,,
