0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,Apr/19 - Jun/19,,"78,79,600.89","75,79,035.56",4.0%
2. External debt,` Crore,Apr/19 - Jun/19,,"5,30,066.77","5,12,640.91",3.4%
3. Internal debt,` Crore,Apr/19 - Jun/19,,"73,49,534.12","70,66,394.65",4.0%
4. Other liabilities,` Crore,Apr/19 - Jun/19,,"9,38,791.45","8,89,050.20",5.6%
5. TOTAL DEBT (1+4),` Crore,Apr/19 - Jun/19,,"88,18,392.34","84,68,085.76",4.1%
Guaranteed debt,,,,,,
I.  Total guaranteed debt,` Crore,Apr/19 - Jun/19,,"3,33,270.18^","3,33,270.18",
II. Outstanding guaranteed debt,` Crore,Apr/19 - Jun/19,,"2,77,553.05^","2,77,553.05",
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,"Unit 
Description","Date of Latest 
Observation***","Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i) Market loans,,Crore of `,Q2 2019,"56,58,930.85","55,00,120.90",
(ii) Market loans in course of repayment,,Crore of `,Q2 2019,20.19,20.19,
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of `,Q2 2019,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q2 2019,"1,89,530.00","92,183.45",
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q2 2019,0.00,0.00,
"(vi) Special Securities converted into Marketable 
Securities",,Crore of `,Q2 2019,"40,687.95","47,687.95",
(vii) Other Special Securities issued to RBI,,Crore of `,Q2 2019,0.00,0.00,
(viii) 14 day Treasury Bills,,Crore of `,Q2 2019,"1,12,901.98","1,22,335.52",
(ix) 182 day Treasury Bills,,Crore of `,Q2 2019,"1,44,088.83","1,19,802.81",
(x) Market stabilisation Scheme,,Crore of `,Q2 2019,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q2 2019,"26,531.00",0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q2 2019,"1,98,968.94","2,08,896.00",
(xiii) Gold Bonds ^^,,Crore of `,Q2 2019,"10,380.84","10,190.72",
(xiv) Compensation & other bonds,,Crore of `,Q2 2019,"68,325.74","67,761.60",
"(xv) Securities issued to International Financial 
Institutions",,Crore of `,Q2 2019,"1,03,994.00","1,06,522.97",
(xvi) Securities against Small Savings,,Crore of `,Q2 2019,"6,04,673.80","6,00,372.54",
(xvii) Cash Management Bills,,Crore of `,Q2 2019,0.00,0.00,
(xviii) Special Securities Issued to Public Sector Banks,,Crore of `,Q2 2019,"1,90,500.00","1,90,500.00",
Total-Internal debt,,Crore of `,Q2 2019,"73,49,534.12","70,66,394.65",
2. External debt #,,Crore of `,Q2 2019,"5,30,066.77","5,12,640.91",
Total Public debt,,Crore of `,Q2 2019,"78,79,600.89","75,79,035.56",
B. Other Liabilities,,Crore of `,Q2 2019,"9,38,791.45","8,89,050.20",
1.  National Small Savings Fund,,Crore of `,Q2 2019,"93,397.43","44,104.45",
2. State Provident Funds,,Crore of `,Q2 2019,"2,19,025.39","2,06,090.51",
3. Other Accounts,,Crore of `,Q2 2019,"3,27,040.03","3,26,618.89",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q2 2019,"1,01,908.08","1,02,013.52",
(ii) Other items.,,Crore of `,Q2 2019,"2,25,131.95","2,24,605.37",
4. Reserve Funds & Deposits,,Crore of `,Q2 2019,"2,99,328.60","3,12,236.35",
(i) Bearing interest,,Crore of `,Q2 2019,"2,09,496.02","2,11,314.83",
(ii) Not bearing interest,,Crore of `,Q2 2019,"89,832.58","1,00,921.52",
TOTAL DEBT,,Crore of `,Q2 2019,"88,18,392.34","84,68,085.76",
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q2 2019,"3,33,270.18^","3,33,270.18",
(ii) Outstanding guaranteed debt,,Crore of `,Q2 2019,"2,77,553.05^","2,77,553.05",
"Note: * Current, ** Previous, ***Q2= Second Quarter  (Apr - Jun 2019)",,,,,,
https://dea.gov.in/central-government-borrowings,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-June 2019,,,,,,
^ Data pertains to Q1 2019,,,,,,
^^ Includes Gold Monetisation Scheme,,,,,,
