0,1,2,3,4,5,6
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
"SDDS DATA CATEGORY AND 
COMPONENT",Foot notes,Unit Description,"Date of 
Latest 
Observation
***","Data Observations 
Latest Data*","Data Observations 
Latest Data-1**","More info 
Metadata Home"
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i)Market loans,,Crore of `,Q1 2013,2983895.53,2935895.54,
(ii) Market loans in course of repayment,,Crore of `,Q1 2013,414.15,417.41,
(iii) Cash Management Bills,,Crore of `,Q1 2013,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q1 2013,105142.03,125871.60,
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q1 2013,0.00,0.00,
"(vi)  Special Securities converted into 
Marketable Securities",,Crore of `,Q1 2013,76817.95,76817.95,
"(vii) Other Special Securities issued to 
RBI",,Crore of `,Q1 2013,1489.28,1489.28,
(viii) 14 day Treasury Bills,,Crore of `,Q1 2013,118380.19,88316.20,
(ix) 182 day Treasury Bills,,Crore of `,Q1 2013,64196.08,65238.00,
(x)Market Stabilisation Bills/Bonds,,Crore of `,Q1 2013,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q1 2013,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q1 2013,130466.89,124461.94,
"(xiii) Gold Bonds, 1998.",,Crore of `,Q1 2013,0.00,0.00,
(xiv) Compensation & other bonds,,Crore of `,Q1 2013,27835.95,28250.60,
"(xv) Securities issued to International 
Financial Institutions",,Crore of `,Q1 2013,32226.10,32388.58,
(xvi) Securities against Small Savings,,Crore of `,Q1 2013,96525.99,96939.21,
"(xvii)Spl.GOI Sec.issued to NSSF 
against  reinvestment of Central Govt. 
Securities",,Crore of `,Q1 2013,110354.34,110354.34,
Total-Internal debt,,Crore of `,Q1 2013,3747744.48,3686440.65,
2.External debt #,,Crore of `,Q1 2013,364442.82,378314.56,
Total Public debt,,Crore of `,Q1 2013,4112187.30,4064755.21,
B. Other liabilities,,Crore of `,Q1 2013,627769.60,618091.34,
1. National Small Savings Fund,,Crore of `,Q1 2013,24453.96,29752.68,
2 . State Provident Funds,,Crore of `,Q1 2013,129417.85,124408.56,
3. Other Accounts,,Crore of `,Q1 2013,332540.81,330677.58,
"(i) Special Deposits of Non-Government 
Provident Funds,etc.",,Crore of `,Q1 2013,102170.94,101761.00,
(ii) Other items.,,Crore of `,Q1 2013,230369.87,228916.58,
4. Reserve Funds & Deposits,,Crore of `,Q1 2013,141356.98,133252.52,
(i) Bearing interest,,Crore of `,Q1 2013,83211.96,68850.43,
(ii) Not bearing interest,,Crore of `,Q1 2013,58145.02,64402.09,
TOTAL DEBT,,Crore of `,Q1 2013,4739956.90,4682846.55,
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q1 2013,232610.04,218857.13,
(ii) Outstanding guaranteed debt,,Crore of `,Q1 2013,210319.78,198815.20,
"Note: *:-Current (data are provisional), **:-Previous Quarter, ***:-Q1= First Qtr  (Jan.-March 2013)",,,,,,
"http://finmin.nic.in/the_ministry/dept_eco_affairs/middle_office/debt_stat.asp
# Includes net cumulative SDR allocation and accrued interest  thereon at end-March 2013.",,,,,,
