0,1,2,3,4,5,6,7
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page 
[NSDP]",,,,,,,
Central Government Debt [CGD],,,,,,,
"SDDS DATA CATEGORY AND 
COMPONENT",,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change 
from previous to latest 
period"
1. Public debt (2+3),,` Crore,Jul/13-Sept/13,,4488904,4292870,4.6%
2.External debt,,` Crore,Jul/13-Sept/13,,422394,401617,5.2%
3.Internal debt,,` Crore,Jul/13-Sept/13,,4066511,3891253,4.5%
4 Other liabilities,,` Crore,Jul/13-Sept/13,,648030,632197,2.5%
5. TOTAL DEBT (1+4),,` Crore,Jul/13-Sept/13,,5136934,4925067,4.3%
Guaranteed debt,,,,,,,
1.Total guaranteed debt,,` Crore,Jul/13-Sept/13,,263125,255060,3.1%
II.Outstanding guaranteed debt,,` Crore,Jul/13-Sept/13,,233127,225764,3.2%
,,,,,,,
FISCAL SECTOR,,,,,,,
FISCAL SECTOR,,,,,,,
"SDDS DATA CATEGORY AND 
COMPONENT",,Foot notes,Unit Description Date of,"Latest 
Observation
***","Data 
Observations 
Latest Data*","Data 
Observations 
Latest Data-1**","More info Metadata 
Home"
CENTRAL GOVERNMENT DEBT,,,,,,,
A. Public debt,,,,,,,
1.Internal Debt,,,,,,,
(i)Market loans,,,Crore of `,Q3 2013,3257173.13,3122146.68,
(ii) Market loans in course of repayment,,,Crore of `,Q3 2013,418.01,435.93,
(iii) Cash Management Bills,,,Crore of `,Q3 2013,52000.00,0.00,
(iv) 91 day Treasury Bills,,,Crore of `,Q3 2013,156645.96,142893.16,
(v) 91 day T.Bs funded into Spl Securities,,,Crore of `,Q3 2013,0.00,0.00,
"(vi)  Special Securities converted into 
Marketable Securities",,,Crore of `,Q3 2013,72817.95,76817.95,
"(vii) Other Special Securities issued to 
RBI",,,Crore of `,Q3 2013,1489.28,1489.28,
(viii) 14 day Treasury Bills,,,Crore of `,Q3 2013,50007.25,63626.73,
(ix) 182 day Treasury Bills,,,Crore of `,Q3 2013,61102.83,64202.33,
(x)Market Stabilisation Bills/Bonds,,,Crore of `,Q3 2013,0.00,0.00,
(xi) Ways and Means Advances,,,Crore of `,Q3 2013,0.00,14661.00,
(xii) 364 day Treasury Bills,,,Crore of `,Q3 2013,131014.22,130795.59,
"(xiii) Gold Bonds, 1998.",,,Crore of `,Q3 2013,0.00,0.00,
(xiv) Compensation & other bonds,,,Crore of `,Q3 2013,34620.07,34654.60,
"(xv) Securities issued to International 
Financial Institutions",,,Crore of `,Q3 2013,33035.10,32847.63,
(xvi) Securities against Small Savings,,,Crore of `,Q3 2013,95904.37,96327.88,
"(xvii)Spl.GOI Sec.issued to NSSF 
against  reinvestment of Central Govt. 
Securities",,,Crore of `,Q3 2013,120282.34,110354.34,
Total-Internal debt,,,Crore of `,Q3 2013,4066510.51,3891253.10,
2.External debt #,,,Crore of `,Q3 2013,422393.92,401616.67,
Total Public debt,,,Crore of `,Q3 2013,4488904.43,4292869.77,
B. Other liabilities,,,Crore of `,Q3 2013,648029.58,632197.27,
1. National Small Savings Fund,,,Crore of `,Q3 2013,48237.39,27630.05,
2 . State Provident Funds,,,Crore of `,Q3 2013,133882.39,133781.21,
3. Other Accounts,,,Crore of `,Q3 2013,329246.52,328131.95,
"(i) Special Deposits of Non-Government 
Provident Funds,etc.",,,Crore of `,Q3 2013,101769.83,102057.74,
(ii) Other items.,,,Crore of `,Q3 2013,227476.69,226074.21,
4. Reserve Funds & Deposits,,,Crore of `,Q3 2013,136663.28,142654.06,
(i) Bearing interest,,,Crore of `,Q3 2013,83190.02,83523.96,
(ii) Not bearing interest,,,Crore of `,Q3 2013,53473.26,59130.10,
TOTAL DEBT,,,Crore of `,Q3 2013,5136934.01,4925067.04,
Guaranteed debt,,,,,,,
(i) Total guaranteed debt,,,Crore of `,Q3 2013,263124.67,255059.94,
(ii) Outstanding guaranteed debt,,,Crore of `,Q3 2013,233127.05,225764.28,
"Note: * Current, ** Previous, ***Q 3= Third Quarter  (July-September, 2013)",,,,,,,
http://finmin.nic.in/the_ministry/dept_eco_affairs/middle_office/debt_stat.asp,,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-September 2013.,,,,,,,
