0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,Jan /16 - Mar /16,,5720411,5575376,2.6%
2.External debt,` Crore,Jan /16 - Mar /16,,443766,429145,3.4%
3.Internal debt,` Crore,Jan /16 - Mar /16,,5276645,5146230,2.5%
4 Other liabilities,` Crore,Jan /16 - Mar /16,,736333,728538,1.1%
5. TOTAL DEBT (1+4),` Crore,Jan /16 - Mar /16,,6456744,6303914,2.4%
Guaranteed debt,,,,,,
1.Total guaranteed debt,` Crore,Jan /16 - Mar /16,,314318,306362,2.6%
II.Outstanding guaranteed debt,` Crore,Jan /16 - Mar /16,,280894,267814,4.9%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,Unit Description Date of Latest,Observation***,"Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i)Market loans,,Crore of `,Q1 2016,4298764.23,4251340.42,
(ii) Market loans in course of repayment,,Crore of `,Q1 2016,1337.89,266.44,
(iii) Cash Management Bills,,Crore of `,Q1 2016,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q1 2016,132854.70,186250.75,
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q1 2016,0.00,0.00,
"(vi)  Special Securities converted into Marketable 
Securities",,Crore of `,Q1 2016,64817.95,64817.95,
(vii) Other Special Securities issued to RBI,,Crore of `,Q1 2016,1489.28,1489.28,
(viii) 14 day Treasury Bills,,Crore of `,Q1 2016,121127.23,59070.80,
(ix) 182 day Treasury Bills,,Crore of `,Q1 2016,77806.97,90372.77,
(x)Market Stabilisation Bills/Bonds,,Crore of `,Q1 2016,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q1 2016,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q1 2016,154033.20,149024.73,
(xiii) Gold Bonds.,,Crore of `,Q1 2016,0.00,0.00,
(xiv) Compensation & other bonds,,Crore of `,Q1 2016,32021.66,32516.01,
"(xv) Securities issued to International Financial 
Institutions",,Crore of `,Q1 2016,106726.18,44568.37,
(xvi) Securities against Small Savings,,Crore of `,Q1 2016,125285.34,106132.39,
"(xvii)Spl.GOI Sec.issued to NSSF against  
reinvestment of Central Govt. Securities",,Crore of `,Q1 2016,160380.34,160380.34,
Total-Internal debt,,Crore of `,Q1 2016,5276644.97,5146230.25,
2.External debt #,,Crore of `,Q1 2016,443766.17,429145.41,
Total Public debt,,Crore of `,Q1 2016,5720411.14,5575375.66,
B. Other liabilities,,Crore of `,Q1 2016,736333.13,728538.08,
1. National Small Savings Fund,,Crore of `,Q1 2016,62078.98,69205.39,
2 . State Provident Funds,,Crore of `,Q1 2016,166081.27,157179.02,
3. Other Accounts,,Crore of `,Q1 2016,319800.84,320450.11,
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q1 2016,103261.40,103401.82,
(ii) Other items.,,Crore of `,Q1 2016,216539.44,217048.29,
4. Reserve Funds & Deposits,,Crore of `,Q1 2016,188372.04,181703.56,
(i) Bearing interest,,Crore of `,Q1 2016,124204.30,107886.21,
(ii) Not bearing interest,,Crore of `,Q1 2016,64167.74,73817.35,
TOTAL DEBT,,Crore of `,Q1 2016,6456744.27,6303913.74,
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q1 2016,314318.07,306362.31,
(ii) Outstanding guaranteed debt,,Crore of `,Q1 2016,280893.89,267814.34,
"Note: * Current, ** Previous, ***Q 1= First  Quarter  (January - March 2016)",,,,,,
http://finmin.nic.in/the_ministry/dept_eco_affairs/middle_office/debt_stat.asp,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-March 2016.,,,,,,
