0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,Jan/19 - Mar/19,,"75,79,035.56","74,67,901.56",1.5%
2. External debt,` Crore,Jan/19 - Mar/19,,"5,12,640.91","5,16,172.54",-0.7%
3. Internal debt,` Crore,Jan/19 - Mar/19,,"70,66,394.65","69,51,729.02",1.6%
4. Other liabilities,` Crore,Jan/19 - Mar/19,,"8,89,050.20","8,72,125.02",1.9%
5. TOTAL DEBT (1+4),` Crore,Jan/19 - Mar/19,,"84,68,085.76","83,40,026.58",1.5%
Guaranteed debt,,,,,,
I.  Total guaranteed debt,` Crore,Jan/19 - Mar/19,,"3,53,785.44^","3,53,785.44",
II. Outstanding guaranteed debt,` Crore,Jan/19 - Mar/19,,"2,93,112.06^","2,93,112.06",
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,"Unit 
Description","Date of Latest 
Observation***","Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i) Market loans,,Crore of `,Q1 2019,"55,00,120.90","53,91,951.56",
(ii) Market loans in course of repayment,,Crore of `,Q1 2019,20.19,20.20,
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of `,Q1 2019,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q1 2019,"92,183.45","1,78,710.82",
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q1 2019,0.00,0.00,
"(vi) Special Securities converted into Marketable 
Securities",,Crore of `,Q1 2019,"47,687.95","47,687.95",
(vii) Other Special Securities issued to RBI,,Crore of `,Q1 2019,0.00,0.00,
(viii) 14 day Treasury Bills,,Crore of `,Q1 2019,"1,22,335.52","1,41,375.71",
(ix) 182 day Treasury Bills,,Crore of `,Q1 2019,"1,19,802.81","1,38,264.31",
(x) Market stabilisation Scheme,,Crore of `,Q1 2019,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q1 2019,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q1 2019,"2,08,896.00","2,17,096.00",
(xiii) Gold Bonds ^^,,Crore of `,Q1 2019,"10,190.72","9,574.96",
(xiv) Compensation & other bonds,,Crore of `,Q1 2019,"67,761.60","67,343.28",
"(xv) Securities issued to International Financial 
Institutions",,Crore of `,Q1 2019,"1,06,522.97","99,636.40",
(xvi) Securities against Small Savings,,Crore of `,Q1 2019,"6,00,372.54","5,28,534.83",
(xvii) Cash Management Bills,,Crore of `,Q1 2019,0.00,0.00,
(xviii) Special Securities Issued to Public Sector Banks,,Crore of `,Q1 2019,"1,90,500.00","1,31,533.00",
Total-Internal debt,,Crore of `,Q1 2019,"70,66,394.65","69,51,729.02",
2. External debt #,,Crore of `,Q1 2019,"5,12,640.91","5,16,172.54",
Total Public debt,,Crore of `,Q1 2019,"75,79,035.56","74,67,901.56",
B. Other Liabilities,,Crore of `,Q1 2019,"8,89,050.20","8,72,125.02",
1.  National Small Savings Fund,,Crore of `,Q1 2019,"44,104.45","1,10,357.04",
2. State Provident Funds,,Crore of `,Q1 2019,"2,06,090.51","2,06,090.51",
3. Other Accounts,,Crore of `,Q1 2019,"3,26,618.89","3,24,286.08",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q1 2019,"1,02,013.52","1,02,177.87",
(ii) Other items.,,Crore of `,Q1 2019,"2,24,605.37","2,22,108.21",
4. Reserve Funds & Deposits,,Crore of `,Q1 2019,"3,12,236.35","2,31,391.39",
(i) Bearing interest,,Crore of `,Q1 2019,"2,11,314.83","1,45,949.59",
(ii) Not bearing interest,,Crore of `,Q1 2019,"1,00,921.52","85,441.80",
TOTAL DEBT,,Crore of `,Q1 2019,"84,68,085.76","83,40,026.58",
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q1 2019,"3,53,785.44^","3,53,785.44",
(ii) Outstanding guaranteed debt,,Crore of `,Q1 2019,"2,93,112.06^","2,93,112.06",
"Note: * Current, ** Previous, ***Q1= First Quarter  (Jan - Mar 2019)",,,,,,
https://dea.gov.in/central-government-borrowings,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-March 2019,,,,,,
^ Data pertains to Q4 2018,,,,,,
^^ Includes Gold Monetisation Scheme,,,,,,
