0,1,2,3,4,5,6
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
"SDDS DATA CATEGORY AND 
COMPONENT",Foot notes,Unit Description,"Date of Latest 
Observation***","Data Observations 
Latest Data*","Data Observations 
Latest Data-1**","More info 
Metadata 
Home"
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i)Market loans,,Crore of `,Q3 2012,2785895.54,2628937.34,
(ii) Market loans in course of repayment,,Crore of `,Q3 2012,417.85,440.66,
(iii) Cash Management Bills,,Crore of `,Q3 2012,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q3 2012,146663.38,165431.54,
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q3 2012,0.00,0.00,
"(vi)  Special Securities converted into 
Marketable Securities",,Crore of `,Q3 2012,76817.95,76817.95,
"(vii) Other Special Securities issued to 
RBI",,Crore of `,Q3 2012,1489.28,1489.28,
(viii) 14 day Treasury Bills,,Crore of `,Q3 2012,70250.75,65590.71,
(ix) 182 day Treasury Bills,,Crore of `,Q3 2012,65238.00,58000.00,
(x)Market Stabilisation Bills/Bonds,,Crore of `,Q3 2012,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q3 2012,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q3 2012,117612.74,105550.74,
"(xiii) Gold Bonds, 1998.",,Crore of `,Q3 2012,0.00,0.00,
(xiv) Compensation & other bonds,,Crore of `,Q3 2012,29202.39,30763.92,
"(xv) Securities issued to International 
Financial Institutions",,Crore of `,Q3 2012,32581.34,29063.46,
(xvi) Securities against Small Savings,,Crore of `,Q3 2012,97283.43,97516.89,
"(xvii)Spl.GOI Sec.issued to NSSF 
against  reinvestment of Central Govt. 
Securities",,Crore of `,Q3 2012,110354.34,110354.34,
Total-Internal debt,,Crore of `,Q3 2012,3533806.99,3369956.83,
2.External debt #,,Crore of `,Q3 2012,373020.80,393306.75,
Total Public debt,,Crore of `,Q3 2012,3906827.79,3763263.58,
B. Other liabilities,,Crore of `,Q3 2012,606908.16,607119.06,
1. National Small Savings Fund,,Crore of `,Q3 2012,21126.45,12591.44,
2 . State Provident Funds,,Crore of `,Q3 2012,123339.45,123256.73,
3. Other Accounts,,Crore of `,Q3 2012,328771.75,333410.08,
"(i) Special Deposits of Non-Government 
Provident Funds,etc.",,Crore of `,Q3 2012,101572.03,101867.23,
(ii) Other items.,,Crore of `,Q3 2012,227199.72,231542.85,
4. Reserve Funds & Deposits,,Crore of `,Q3 2012,133670.51,137860.81,
(i) Bearing interest,,Crore of `,Q3 2012,71895.12,73530.54,
(ii) Not bearing interest,,Crore of `,Q3 2012,61775.39,64330.27,
TOTAL DEBT,,Crore of `,Q3 2012,4513735.95,4370382.64,
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q3 2012,156143.78,160350.80,
(ii) Outstanding guaranteed debt,,Crore of `,Q3 2012,149186.95,150781.40,
"Note: *:-Current (data are provisional), **:-Previous Quarter, ***:-Q3 = Third Qtr  (Jul-Sept. 2012)",,,,,,
"http://finmin.nic.in/stats_data/central_govt_borrowingsdata_index.html.
# Includes net cumulative SDR allocation and accrued interest  thereon at end-Sept. 2012.",,,,,,
