0,1,2,3,4,5,6,7
,,,,,,,
,"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]",,,,,,
Central Government Debt [CGD],,,,,,,
"SDDS DATA CATEGORY AND 
COMPONENT",,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),,` Crore,Jant/14-Mar/14,,4653458,4629689,0.5%
2.External debt,,` Crore,Jant/14-Mar/14,,412691,416424,-0.9%
3.Internal debt,,` Crore,Jant/14-Mar/14,,4240767,4213265,0.7%
4 Other liabilities,,` Crore,Jant/14-Mar/14,,657623,648035,1.5%
5. TOTAL DEBT (1+4),,` Crore,Jant/14-Mar/14,,5311081,5277724,0.6%
Guaranteed debt,,,,,,,
1.Total guaranteed debt,,` Crore,Jant/14-Mar/14,,298736,273521,9.2%
II.Outstanding guaranteed debt,,` Crore,Jant/14-Mar/14,,231697,231489,0.1%
,,,,,,,
FISCAL SECTOR,,,,,,,
FISCAL SECTOR,,,,,,,
"SDDS DATA CATEGORY AND 
COMPONENT",,Foot notes,Unit Description Date of Latest,Observation***,"Data 
Observations 
Latest Data*","Data 
Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,,
A. Public debt,,,,,,,
1.Internal Debt,,,,,,,
(i)Market loans,,,Crore of `,Q1 2014,3441443.06,3422247.04,
(ii) Market loans in course of repayment,,,Crore of `,Q1 2014,198.31,417.08,
(iii) Cash Management Bills,,,Crore of `,Q1 2014,0.00,0.00,
(iv) 91 day Treasury Bills,,,Crore of `,Q1 2014,125760.61,154925.14,
(v) 91 day T.Bs funded into Spl Securities,,,Crore of `,Q1 2014,0.00,0.00,
"(vi)  Special Securities converted into 
Marketable Securities",,,Crore of `,Q1 2014,72817.95,72817.95,
(vii) Other Special Securities issued to RBI,,,Crore of `,Q1 2014,1489.28,1489.28,
(viii) 14 day Treasury Bills,,,Crore of `,Q1 2014,86815.77,72614.39,
(ix) 182 day Treasury Bills,,,Crore of `,Q1 2014,76417.43,67099.23,
(x)Market Stabilisation Bills/Bonds,,,Crore of `,Q1 2014,0.00,0.00,
(xi) Ways and Means Advances,,,Crore of `,Q1 2014,0.00,0.00,
(xii) 364 day Treasury Bills,,,Crore of `,Q1 2014,136956.26,136913.85,
"(xiii) Gold Bonds, 1998.",,,Crore of `,Q1 2014,0.00,0.00,
(xiv) Compensation & other bonds,,,Crore of `,Q1 2014,34521.84,34574.76,
"(xv) Securities issued to International 
Financial Institutions",,,Crore of `,Q1 2014,35181.05,34247.40,
(xvi) Securities against Small Savings,,,Crore of `,Q1 2014,98863.03,95636.72,
"(xvii)Spl.GOI Sec.issued to NSSF against  
reinvestment of Central Govt. Securities",,,Crore of `,Q1 2014,130302.34,120282.34,
Total-Internal debt,,,Crore of `,Q1 2014,4240766.93,4213265.18,
2.External debt #,,,Crore of `,Q1 2014,412691.04,416424.25,
Total Public debt,,,Crore of `,Q1 2014,4653457.97,4629689.43,
B. Other liabilities,,,Crore of `,Q1 2014,657623.23,648034.77,
1. National Small Savings Fund,,,Crore of `,Q1 2014,29207.24,45646.68,
2 . State Provident Funds,,,Crore of `,Q1 2014,139921.96,134875.26,
3. Other Accounts,,,Crore of `,Q1 2014,334572.71,330637.14,
"(i) Special Deposits of Non-Government 
Provident Funds,etc.",,,Crore of `,Q1 2014,102674.34,101683.50,
(ii) Other items.,,,Crore of `,Q1 2014,231898.37,228953.64,
4. Reserve Funds & Deposits,,,Crore of `,Q1 2014,153921.32,136875.69,
(i) Bearing interest,,,Crore of `,Q1 2014,97797.46,82723.86,
(ii) Not bearing interest,,,Crore of `,Q1 2014,56123.86,54151.83,
TOTAL DEBT,,,Crore of `,Q1 2014,5311081.20,5277724.20,
Guaranteed debt,,,,,,,
(i) Total guaranteed debt,,,Crore of `,Q1 2014,298736.27,273521.06,
(ii) Outstanding guaranteed debt,,,Crore of `,Q1 2014,231696.82,231489.17,
"Note: * Current, ** Previous, ***Q 1=First Quarter  (Jan.-Mar. 2014)",,,,,,,
http://finmin.nic.in/the_ministry/dept_eco_affairs/middle_office/debt_stat.asp,,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-March 2014.,,,,,,,
