0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,Jul/18 - Sep/18,,"73,22,311.03","71,25,118.88",2.8%
2.External debt,` Crore,Jul/18 - Sep/18,,"5,25,765.23","5,01,220.73",4.9%
3. Internal debt,` Crore,Jul/18 - Sep/18,,"67,96,545.80","66,23,898.15",2.6%
4 Other liabilities,` Crore,Jul/18 - Sep/18,,"8,80,941.97","8,55,548.79",3.0%
5. TOTAL DEBT (1+4),` Crore,Jul/18 - Sep/18,,"82,03,253.00","79,80,667.67",2.8%
Guaranteed debt,,,,,,
1.Total guaranteed debt,` Crore,Jul/18 - Sep/18,,"3,24,908.56^","3,24,908.56",
II.Outstanding guaranteed debt,` Crore,Jul/18 - Sep/18,,"2,84,529.44^","2,84,529.44",
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,"Unit 
Description","Date of Latest 
Observation***","Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i) Market loans,,Crore of `,Q3 2018,"52,65,284.38","51,31,285.04",
(ii) Market loans in course of repayment,,Crore of `,Q3 2018,20.24,20.54,
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of `,Q3 2018,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q3 2018,"2,12,842.62","1,76,428.35",
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q3 2018,0.00,0.00,
"(vi) Special Securities converted into Marketable 
Securities",,Crore of `,Q3 2018,"47,687.95","53,817.95",
(vii) Other Special Securities issued to RBI,,Crore of `,Q3 2018,0.00,0.00,
(viii) 14 day Treasury Bills,,Crore of `,Q3 2018,"1,35,645.68","1,16,550.48",
(ix) 182 day Treasury Bills,,Crore of `,Q3 2018,"1,38,217.24","1,32,354.15",
(x) Market stabilisation Scheme,,Crore of `,Q3 2018,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q3 2018,"23,411.00","55,435.00",
(xii) 364 day Treasury Bills,,Crore of `,Q3 2018,"1,90,043.00","1,77,953.00",
(xiii) Gold Bonds,,Crore of `,Q3 2018,9089.53^^,"6,866.68",
(xiv) Compensation & other bonds,,Crore of `,Q3 2018,"66,868.19","66,405.31",
"(xv) Securities issued to International Financial 
Institutions",,Crore of `,Q3 2018,"1,00,991.27","1,01,045.56",
(xvi) Securities against Small Savings,,Crore of `,Q3 2018,"5,07,322.70","4,80,736.09",
(xvii) Cash Management Bills,,Crore of `,Q3 2018,0.00,"45,000.00",
(xviii) Special Securities Issued to Public Sector Banks,,Crore of `,Q3 2018,"99,122.00","80,000.00",
Total-Internal debt,,Crore of `,Q3 2018,"67,96,545.80","66,23,898.15",
2. External debt #,,Crore of `,Q3 2018,"5,25,765.23","5,01,220.73",
Total Public debt,,Crore of `,Q3 2018,"73,22,311.03","71,25,118.88",
B. Other Liabilities,,Crore of `,Q3 2018,"8,80,941.97","8,55,548.79",
1.  National Small Savings Fund,,Crore of `,Q3 2018,"90,920.65","75,828.08",
2. State Provident Funds,,Crore of `,Q3 2018,"2,05,028.25","2,02,946.71",
3. Other Accounts,,Crore of `,Q3 2018,"3,24,341.02","3,25,040.97",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q3 2018,"1,02,341.23","1,02,599.80",
(ii) Other items.,,Crore of `,Q3 2018,"2,21,999.79","2,22,441.17",
4. Reserve Funds & Deposits,,Crore of `,Q3 2018,"2,60,652.05","2,51,733.03",
(i) Bearing interest,,Crore of `,Q3 2018,"1,44,769.15","1,42,963.09",
(ii) Not bearing interest,,Crore of `,Q3 2018,"1,15,882.90","1,08,769.94",
TOTAL DEBT,,Crore of `,Q3 2018,"82,03,253.00","79,80,667.67",
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q3 2018,"3,24,908.56^","3,24,908.56",
(ii) Outstanding guaranteed debt,,Crore of `,Q3 2018,"2,84,529.44^","2,84,529.44",
"Note: * Current, ** Previous, ***Q2= Second Quarter  (Apr - Jun 2018)",,,,,,
https://dea.gov.in/central-government-borrowings,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-March 2018,,,,,,
^ Data for Q3 2018 has been repeated,,,,,,
^^ Includes Gold Monetisation Scheme,,,,,,
