0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,Jul/19 - Sep/19,,"82,05,988.87","78,79,600.89",4.1%
2. External debt,` Crore,Jul/19 - Sep/19,,"5,40,425.71","5,30,066.77",2.0%
3. Internal debt,` Crore,Jul/19 - Sep/19,,"76,65,563.16","73,49,534.12",4.3%
4. Other liabilities,` Crore,Jul/19 - Sep/19,,"8,95,495.27","9,38,791.45",-4.6%
5. TOTAL DEBT (1+4),` Crore,Jul/19 - Sep/19,,"91,01,484.14","88,18,392.34",3.2%
Guaranteed debt,,,,,,
I.  Total guaranteed debt,` Crore,Jul/19 - Sep/19,,"3,33,270.18^","3,33,270.18^",
II. Outstanding guaranteed debt,` Crore,Jul/19 - Sep/19,,"2,77,553.05^","2,77,553.05^",
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,"Unit 
Description","Date of Latest 
Observation***","Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i) Market loans,,Crore of `,Q3 2019,"58,47,520.26","56,58,930.85",
(ii) Market loans in course of repayment,,Crore of `,Q3 2019,20.54,20.19,
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of `,Q3 2019,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q3 2019,"1,75,471.58","1,89,530.00",
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q3 2019,0.00,0.00,
"(vi) Special Securities converted into Marketable 
Securities",,Crore of `,Q3 2019,"40,687.95","40,687.95",
(vii) Other Special Securities issued to RBI,,Crore of `,Q3 2019,0.00,0.00,
(viii) 14 day Treasury Bills,,Crore of `,Q3 2019,"1,27,242.81","1,12,901.98",
(ix) 182 day Treasury Bills,,Crore of `,Q3 2019,"1,63,532.70","1,44,088.83",
(x) Market stabilisation Scheme,,Crore of `,Q3 2019,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q3 2019,0.00,"26,531.00",
(xii) 364 day Treasury Bills,,Crore of `,Q3 2019,"2,07,824.00","1,98,968.94",
(xiii) Gold Bonds ^^,,Crore of `,Q3 2019,"11,167.87","10,380.84",
(xiv) Compensation & other bonds,,Crore of `,Q3 2019,"69,314.03","68,325.74",
(xv) Securities issued to International Financial,,Crore of `,Q3 2019,"1,01,767.97","1,03,994.00",
(xvi) Securities against Small Savings,,Crore of `,Q3 2019,"6,70,199.45","6,04,673.80",
(xvii) Cash Management Bills,,Crore of `,Q3 2019,0.00,0.00,
(xviii) Special Securities Issued to Public Sector Banks,,Crore of `,Q3 2019,"2,50,814.00","1,90,500.00",
Total-Internal debt,,Crore of `,Q3 2019,"76,65,563.16","73,49,534.12",
2. External debt #,,Crore of `,Q3 2019,"5,40,425.71","5,30,066.77",
Total Public debt,,Crore of `,Q3 2019,"82,05,988.87","78,79,600.89",
B. Other Liabilities,,Crore of `,Q3 2019,"8,95,495.27","9,38,791.45",
1.  National Small Savings Fund,,Crore of `,Q3 2019,"86,986.84","93,397.43",
2. State Provident Funds,,Crore of `,Q3 2019,"2,19,421.65","2,19,025.39",
3. Other Accounts,,Crore of `,Q3 2019,"3,27,873.63","3,27,040.03",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q3 2019,"1,01,809.43","1,01,908.08",
(ii) Other items.,,Crore of `,Q3 2019,"2,26,064.20","2,25,131.95",
4. Reserve Funds & Deposits,,Crore of `,Q3 2019,"2,61,213.15","2,99,328.60",
(i) Bearing interest,,Crore of `,Q3 2019,"1,64,902.46","2,09,496.02",
(ii) Not bearing interest,,Crore of `,Q3 2019,"96,310.69","89,832.58",
TOTAL DEBT,,Crore of `,Q3 2019,"91,01,484.14","88,18,392.34",
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q3 2019,"3,33,270.18^","3,33,270.18^",
(ii) Outstanding guaranteed debt,,Crore of `,Q3 2019,"2,77,553.05^","2,77,553.05^",
"Note: * Current, ** Previous, ***Q3= Third Quarter  (Jul - Sep 2019)",,,,,,
https://dea.gov.in/central-government-borrowings,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-September 2019,,,,,,
^ Data pertains to Q1 2019,,,,,,
^^ Includes Gold Monetisation Scheme,,,,,,
