0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage 
change from"
1. Public debt (2+3),₹ Crore,Jan/23 - Mar/23,,"1,40,05,677.25","1,34,40,108.91","previous to 
4.2%"
2. External debt,₹ Crore,Jan/23 - Mar/23,,"9,31,945.55","9,16,550.64",1.7%
3. Internal debt,₹ Crore,Jan/23 - Mar/23,,"1,30,73,731.70","1,25,23,558.27",4.4%
4. Other liabilities^^,₹ Crore,Jan/23 - Mar/23,,"11,59,207.00","11,95,157.10",-3.0%
5. TOTAL DEBT (1+4),₹ Crore,Jan/23 - Mar/23,,"1,51,64,884.25","1,46,35,266.01",3.6%
Guaranteed debt,,,,,,
I.  Total guaranteed debt,₹ Crore,Jan/23 - Mar/23,,"5,22,822.83","5,60,985.90",-6.8%
II. Outstanding guaranteed debt,₹ Crore,Jan/23 - Mar/23,,"4,25,583.45","4,38,659.01",-3.0%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,"Unit 
Description","Date of Latest 
Observation***","Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**","More info 
Metadata Home"
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i) Market loans,,Crore of ₹,Q1 2023,"91,41,217.06","88,68,748.85",
(ii) Market loans in course of repayment,,Crore of ₹,Q1 2023,15.58,16.22,
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of ₹,Q1 2023,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of ₹,Q1 2023,"1,14,937.64","1,91,392.56",
(v) 91 day T.Bs funded into Spl Securities,,Crore of ₹,Q1 2023,0.00,0.00,
(vi) Special Securities converted into Marketable Securities,,Crore of ₹,Q1 2023,"24,687.95","33,359.99",
(vii) Other Special Securities issued to RBI,,Crore of ₹,Q1 2023,0.00,0.00,
(viii) 14 day Treasury Bills,,Crore of ₹,Q1 2023,"2,13,983.94","1,77,526.87",
(ix) 182 day Treasury Bills,,Crore of ₹,Q1 2023,"2,63,091.60","1,94,762.54",
(x) Market stabilisation Scheme,,Crore of ₹,Q1 2023,0.00,0.00,
(xi) Ways and Means Advances,,Crore of ₹,Q1 2023,"48,677.00",0.00,
(xii) 364 day Treasury Bills,,Crore of ₹,Q1 2023,"4,45,283.50","4,53,775.84",
(xiii) Gold Bonds ^,,Crore of ₹,Q1 2023,"52,776.40","50,216.32",
(xiv) Compensation & other bonds,,Crore of ₹,Q1 2023,"1,01,708.29","1,07,560.80",
(xv) Securities issued to International Financial Institutions,,Crore of ₹,Q1 2023,"96,624.73","99,576.28",
(xvi) Securities against Small Savings,,Crore of ₹,Q1 2023,"22,79,780.41","20,55,674.40",
(xvii) Cash Management Bills,,Crore of ₹,Q1 2023,0.00,0.00,
(xviii) Special Securities Issued to Public Sector Banks,,Crore of ₹,Q1 2023,"2,90,947.60","2,90,947.60",
Total-Internal debt,,Crore of ₹,Q1 2023,"1,30,73,731.70","1,25,23,558.27",
2. External debt #,,Crore of ₹,Q1 2023,"9,31,945.55","9,16,550.64",
Total Public debt,,Crore of ₹,Q1 2023,"1,40,05,677.25","1,34,40,108.91",
B. Public Account  - Other Liabilities,,Crore of ₹,Q1 2023,"11,59,207.00","11,95,157.10",
1.  National Small Savings Fund ^^,,Crore of ₹,Q1 2023,"3,886.02","78,640.44",
2. State Provident Funds,,Crore of ₹,Q1 2023,"2,62,280.31","2,51,678.21",
3. Other Accounts,,Crore of ₹,Q1 2023,"4,08,892.09","4,30,468.95",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of ₹,Q1 2023,"99,606.36","99,768.16",
(ii) Other items.,,Crore of ₹,Q1 2023,"3,09,285.73","3,30,700.79",
4. Reserve Funds & Deposits,,Crore of ₹,Q1 2023,"4,84,148.58","4,34,369.50",
(i) Bearing interest,,Crore of ₹,Q1 2023,"2,63,771.72","2,51,634.32",
(ii) Not bearing interest,,Crore of ₹,Q1 2023,"2,20,376.86","1,82,735.18",
TOTAL DEBT,,Crore of ₹,Q1 2023,"1,51,64,884.25","1,46,35,266.01",
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of ₹,Q1 2023,"5,22,822.83","5,60,985.90",
(ii) Outstanding guaranteed debt,,Crore of ₹,Q1 2023,"4,25,583.45","4,38,659.01",
"Note: * Current, ** Previous, ***Q1= First Quarter  (Jan-Mar 2023)",,,,,,
https://dea.gov.in/central-government-borrowings,,,,,,
"# Includes net cumulative SDR allocation from March 2004 onwards(Crore of ₹)
183020.55
182497.64",,,,,,
^ Includes Gold Monetisation Scheme,,,,,,
^^ Excluding Investment in -,,,,,,
"(i) Special Securities of States under NSSF (Current Quarter):
357702.54
85920.00
(ii) NSSF Investments in public agencies (Current Qtr):",,,,,,
EBR and cash balance not adjusted in Total Debt,,,,,,
