0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,Oct/20 - Dec/20,,"99,57,918.11","97,46,769.51",2.2%
2. External debt,` Crore,Oct/20 - Dec/20,,"6,45,427.06","6,30,460.65",2.4%
3. Internal debt,` Crore,Oct/20 - Dec/20,,"93,12,491.05","91,16,308.86",2.2%
4. Other liabilities,` Crore,Oct/20 - Dec/20,,"9,68,404.33","9,57,524.15",1.1%
5. TOTAL DEBT (1+4),` Crore,Oct/20 - Dec/20,,"1,09,26,322.44","1,07,04,293.66",2.1%
Guaranteed debt,,,,,,
I.  Total guaranteed debt,` Crore,Oct/20 - Dec/20,,"5,16,303.34","4,38,470.45",17.8%
II. Outstanding guaranteed debt,` Crore,Oct/20 - Dec/20,,"3,80,002.83","3,57,002.78",6.4%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,"Unit 
Description","Date of Latest 
Observation***","Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i) Market loans,,Crore of `,Q4 2020,"68,38,839.88","66,21,145.96",
(ii) Market loans in course of repayment,,Crore of `,Q4 2020,18.38,19.15,
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of `,Q4 2020,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q4 2020,"2,28,812.22","2,30,783.09",
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q4 2020,0.00,0.00,
"(vi) Special Securities converted into Marketable 
Securities",,Crore of `,Q4 2020,"35,687.95","35,687.95",
(vii) Other Special Securities issued to RBI,,Crore of `,Q4 2020,0.00,0.00,
(viii) 14 day Treasury Bills,,Crore of `,Q4 2020,"1,53,498.62","1,07,300.61",
(ix) 182 day Treasury Bills,,Crore of `,Q4 2020,"1,98,796.29","3,49,193.13",
(x) Market stabilisation Scheme,,Crore of `,Q4 2020,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q4 2020,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q4 2020,"4,12,120.00","4,02,310.00",
(xiii) Gold Bonds ^,,Crore of `,Q4 2020,"27,134.23","24,184.36",
(xiv) Compensation & other bonds,,Crore of `,Q4 2020,"89,707.65","83,696.26",
"(xv) Securities issued to International Financial 
Institutions",,Crore of `,Q4 2020,"99,059.87","96,002.19",
(xvi) Securities against Small Savings,,Crore of `,Q4 2020,"9,56,968.36","8,99,638.56",
(xvii) Cash Management Bills,,Crore of `,Q4 2020,0.00,0.00,
(xviii) Special Securities Issued to Public Sector Banks,,Crore of `,Q4 2020,"2,71,847.60","2,66,347.60",
Total-Internal debt,,Crore of `,Q4 2020,"93,12,491.05","91,16,308.86",
2. External debt #,,Crore of `,Q4 2020,"6,45,427.06","6,30,460.65",
Total Public debt,,Crore of `,Q4 2020,"99,57,918.11","97,46,769.51",
B. Other Liabilities,,Crore of `,Q4 2020,"9,68,404.33","9,57,524.15",
1.  National Small Savings Fund,,Crore of `,Q4 2020,"96,155.50","96,617.22",
2. State Provident Funds,,Crore of `,Q4 2020,"2,37,957.20","2,38,079.60",
3. Other Accounts,,Crore of `,Q4 2020,"3,29,381.04","3,29,382.20",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q4 2020,"1,00,791.68","1,00,901.21",
(ii) Other items.,,Crore of `,Q4 2020,"2,28,589.36","2,28,480.99",
4. Reserve Funds & Deposits,,Crore of `,Q4 2020,"3,04,910.59","2,93,445.13",
(i) Bearing interest,,Crore of `,Q4 2020,"1,69,567.16","1,64,317.68",
(ii) Not bearing interest,,Crore of `,Q4 2020,"1,35,343.43","1,29,127.45",
TOTAL DEBT,,Crore of `,Q4 2020,"1,09,26,322.44","1,07,04,293.66",
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q4 2020,"5,16,303.34","4,38,470.45",
(ii) Outstanding guaranteed debt,,Crore of `,Q4 2020,"3,80,002.83","3,57,002.78",
"Note: * Current, ** Previous, ***Q4= Fourth Quarter  (Oct - Dec 2020)",,,,,,
https://dea.gov.in/central-government-borrowings,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-December 2020,,,,,,
^ Includes Gold Monetisation Scheme,,,,,,
