0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage 
change from"
1. Public debt (2+3),₹ Crore,Oct/21 - Dec/21,,"1,17,63,351.43","1,15,01,024.52","previous to 
2.3%"
2. External debt,₹ Crore,Oct/21 - Dec/21,,"8,16,829.36","8,05,551.68",1.4%
3. Internal debt,₹ Crore,Oct/21 - Dec/21,,"1,09,46,522.07","1,06,95,472.84",2.3%
4. Other liabilities,₹ Crore,Oct/21 - Dec/21,,"10,78,645.03","10,70,722.19",0.7%
5. TOTAL DEBT (1+4),₹ Crore,Oct/21 - Dec/21,,"1,28,41,996.46","1,25,71,746.71",2.1%
Guaranteed debt,,,,,,
I.  Total guaranteed debt,₹ Crore,Oct/21 - Dec/21,,"5,14,496.30","5,15,078.28",-0.1%
II. Outstanding guaranteed debt,₹ Crore,Oct/21 - Dec/21,,"3,61,404.61","3,81,332.67",-5.2%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,"Unit 
Description","Date of Latest 
Observation***","Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**","More info 
Metadata Home"
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i) Market loans,,Crore of ₹,Q4 2021,"79,13,184.35","76,99,835.14",
(ii) Market loans in course of repayment,,Crore of ₹,Q4 2021,16.20,16.84,
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of ₹,Q4 2021,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of ₹,Q4 2021,"2,49,067.17","2,03,565.80",
(v) 91 day T.Bs funded into Spl Securities,,Crore of ₹,Q4 2021,0.00,0.00,
(vi) Special Securities converted into Marketable Securities,,Crore of ₹,Q4 2021,"33,410.99","33,410.99",
(vii) Other Special Securities issued to RBI,,Crore of ₹,Q4 2021,0.00,0.00,
(viii) 14 day Treasury Bills,,Crore of ₹,Q4 2021,"1,40,800.84","1,21,435.71",
(ix) 182 day Treasury Bills,,Crore of ₹,Q4 2021,"97,428.42","2,55,012.75",
(x) Market stabilisation Scheme,,Crore of ₹,Q4 2021,0.00,0.00,
(xi) Ways and Means Advances,,Crore of ₹,Q4 2021,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of ₹,Q4 2021,"3,46,373.00","3,05,003.00",
(xiii) Gold Bonds ^,,Crore of ₹,Q4 2021,"42,507.36","39,794.97",
(xiv) Compensation & other bonds,,Crore of ₹,Q4 2021,"1,03,966.17","1,01,141.90",
(xv) Securities issued to International Financial Institutions,,Crore of ₹,Q4 2021,"1,01,217.42","1,02,527.83",
(xvi) Securities against Small Savings,,Crore of ₹,Q4 2021,"16,32,202.55","15,47,380.31",
(xvii) Cash Management Bills,,Crore of ₹,Q4 2021,0.00,0.00,
(xviii) Special Securities Issued to Public Sector Banks,,Crore of ₹,Q4 2021,"2,86,347.60","2,86,347.60",
Total-Internal debt,,Crore of ₹,Q4 2021,"1,09,46,522.07","1,06,95,472.84",
2. External debt #,,Crore of ₹,Q4 2021,"8,16,829.36","8,05,551.68",
Total Public debt,,Crore of ₹,Q4 2021,"1,17,63,351.43","1,15,01,024.52",
B. Other Liabilities,,Crore of ₹,Q4 2021,"10,78,645.03","10,70,722.19",
1.  National Small Savings Fund,,Crore of ₹,Q4 2021,"1,19,719.81","1,22,631.10",
2. State Provident Funds,,Crore of ₹,Q4 2021,"2,46,177.36","2,46,889.22",
3. Other Accounts,,Crore of ₹,Q4 2021,"3,23,791.83","3,33,020.05",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of ₹,Q4 2021,"1,00,573.85","1,00,628.30",
(ii) Other items.,,Crore of ₹,Q4 2021,"2,23,217.98","2,32,391.75",
4. Reserve Funds & Deposits,,Crore of ₹,Q4 2021,"3,88,956.03","3,68,181.82",
(i) Bearing interest,,Crore of ₹,Q4 2021,"2,24,100.51","2,20,906.38",
(ii) Not bearing interest,,Crore of ₹,Q4 2021,"1,64,855.52","1,47,275.44",
TOTAL DEBT,,Crore of ₹,Q4 2021,"1,28,41,996.46","1,25,71,746.71",
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of ₹,Q4 2021,"5,14,496.30","5,15,078.28",
(ii) Outstanding guaranteed debt,,Crore of ₹,Q4 2021,"3,61,404.61","3,81,332.67",
"Note: * Current, ** Previous, ***Q4= Fourth Quarter  (Oct - Dec 2021)",,,,,,
https://dea.gov.in/central-government-borrowings,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-December 2021,,,,,,
^ Includes Gold Monetisation Scheme,,,,,,
