0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage 
change from"
1. Public debt (2+3),₹ Crore,Oct/22 - Dec/22,,"1,34,40,108.91","1,31,23,838.21","previous to 
2.4%"
2. External debt,₹ Crore,Oct/22 - Dec/22,,"9,16,550.64","8,63,630.19",6.1%
3. Internal debt,₹ Crore,Oct/22 - Dec/22,,"1,25,23,558.27","1,22,60,208.02",2.1%
4. Other liabilities^^,₹ Crore,Oct/22 - Dec/22,,"11,96,066.22","11,39,183.77",5.0%
5. TOTAL DEBT (1+4),₹ Crore,Oct/22 - Dec/22,,"1,46,36,175.13","1,42,63,021.98",2.6%
Guaranteed debt,,,,,,
I.  Total guaranteed debt,₹ Crore,Oct/22 - Dec/22,,"5,60,985.90","5,54,907.95",1.1%
II. Outstanding guaranteed debt,₹ Crore,Oct/22 - Dec/22,,"4,38,659.01","4,39,003.97",-0.1%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,"Unit 
Description","Date of Latest 
Observation***","Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**","More info 
Metadata Home"
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i) Market loans,,Crore of ₹,Q4 2022,"88,68,748.85","86,03,600.25",
(ii) Market loans in course of repayment,,Crore of ₹,Q4 2022,16.22,16.33,
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of ₹,Q4 2022,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of ₹,Q4 2022,"1,91,392.56","1,68,610.23",
(v) 91 day T.Bs funded into Spl Securities,,Crore of ₹,Q4 2022,0.00,0.00,
(vi) Special Securities converted into Marketable Securities,,Crore of ₹,Q4 2022,"33,359.99","33,359.99",
(vii) Other Special Securities issued to RBI,,Crore of ₹,Q4 2022,0.00,0.00,
(viii) 14 day Treasury Bills,,Crore of ₹,Q4 2022,"1,77,526.87","1,18,279.33",
(ix) 182 day Treasury Bills,,Crore of ₹,Q4 2022,"1,94,762.54","2,86,149.27",
(x) Market stabilisation Scheme,,Crore of ₹,Q4 2022,0.00,0.00,
(xi) Ways and Means Advances,,Crore of ₹,Q4 2022,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of ₹,Q4 2022,"4,53,775.84","4,65,445.18",
(xiii) Gold Bonds ^,,Crore of ₹,Q4 2022,"50,216.32","48,472.53",
(xiv) Compensation & other bonds,,Crore of ₹,Q4 2022,"1,07,560.80","1,03,980.39",
(xv) Securities issued to International Financial Institutions,,Crore of ₹,Q4 2022,"99,576.28","97,405.00",
(xvi) Securities against Small Savings,,Crore of ₹,Q4 2022,"20,55,674.40","20,43,941.92",
(xvii) Cash Management Bills,,Crore of ₹,Q4 2022,0.00,0.00,
(xviii) Special Securities Issued to Public Sector Banks,,Crore of ₹,Q4 2022,"2,90,947.60","2,90,947.60",
Total-Internal debt,,Crore of ₹,Q4 2022,"1,25,23,558.27","1,22,60,208.02",
2. External debt #,,Crore of ₹,Q4 2022,"9,16,550.64","8,63,630.19",
Total Public debt,,Crore of ₹,Q4 2022,"1,34,40,108.91","1,31,23,838.21",
B. Public Account  - Other Liabilities,,Crore of ₹,Q4 2022,"11,96,066.22","11,39,183.77",
1.  National Small Savings Fund,,Crore of ₹,Q4 2022,"78,640.44","41,019.71",
2. State Provident Funds,,Crore of ₹,Q4 2022,"2,51,678.21","2,53,044.00",
3. Other Accounts,,Crore of ₹,Q4 2022,"4,31,378.07","4,54,044.90",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of ₹,Q4 2022,"99,768.16","99,995.04",
(ii) Other items.,,Crore of ₹,Q4 2022,"3,31,609.91","3,54,049.86",
4. Reserve Funds & Deposits,,Crore of ₹,Q4 2022,"4,34,369.50","3,91,075.16",
(i) Bearing interest,,Crore of ₹,Q4 2022,"2,51,634.32","2,38,652.12",
(ii) Not bearing interest,,Crore of ₹,Q4 2022,"1,82,735.18","1,52,423.04",
TOTAL DEBT,,Crore of ₹,Q4 2022,"1,46,36,175.13","1,42,63,021.98",
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of ₹,Q4 2022,"5,60,985.90","5,54,907.95",
(ii) Outstanding guaranteed debt,,Crore of ₹,Q4 2022,"4,38,659.01","4,39,003.97",
"Note: * Current, ** Previous, ***Q4= Fourth Quarter  (Oct-Dec 2022)",,,,,,
https://dea.gov.in/central-government-borrowings,,,,,,
# Includes net cumulative SDR allocation from March 2004 onwards ( ₹172271.19 crore for 30th September 2022 and ₹182497.64 crore,,,,,,
for 31st December 2022),,,,,,
^ Includes Gold Monetisation Scheme,,,,,,
"^^ Excluding Investment in special securities of States under NSSF, NSSF Investments in public agencies, EBRs and adjusted Cash Balance at 
quarter end",,,,,,
