0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage 
change from"
1. Public debt (2+3),₹ Crore,Apr/23 - Jun/23,,"1,44,53,973.84","1,40,05,677.25","previous to 
3.2%"
2. External debt,₹ Crore,Apr/23 - Jun/23,,"9,20,105.79","9,31,945.55",-1.3%
3. Internal debt,₹ Crore,Apr/23 - Jun/23,,"1,35,33,868.05","1,30,73,731.70",3.5%
4. Other liabilities^^,₹ Crore,Apr/23 - Jun/23,,"17,35,593.74","16,51,922.30",5.1%
5. TOTAL DEBT (1+4),₹ Crore,Apr/23 - Jun/23,,"1,61,89,567.58","1,56,57,599.55",3.4%
Guaranteed debt,,,,,,
I.  Total guaranteed debt,₹ Crore,Apr/23 - Jun/23,,"5,36,679.96","5,22,822.83",2.7%
II. Outstanding guaranteed debt,₹ Crore,Apr/23 - Jun/23,,"4,39,660.45","4,25,583.45",3.3%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,"Unit 
Description","Date of Latest 
Observation***","Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**","More info 
Metadata Home"
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i) Market loans,,Crore of ₹,Q2 2023,"93,97,550.77","91,41,217.06",
(ii) Market loans in course of repayment,,Crore of ₹,Q2 2023,15.41,15.58,
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of ₹,Q2 2023,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of ₹,Q2 2023,"2,06,798.00","1,14,937.64",
(v) 91 day T.Bs funded into Spl Securities,,Crore of ₹,Q2 2023,0.00,0.00,
(vi) Special Securities converted into Marketable Securities,,Crore of ₹,Q2 2023,"16,687.95","24,687.95",
(vii) Other Special Securities issued to RBI,,Crore of ₹,Q2 2023,0.00,0.00,
(viii) 14 day Treasury Bills,,Crore of ₹,Q2 2023,"1,72,686.57","2,13,983.94",
(ix) 182 day Treasury Bills,,Crore of ₹,Q2 2023,"3,57,790.82","2,63,091.60",
(x) Market stabilisation Scheme,,Crore of ₹,Q2 2023,0.00,0.00,
(xi) Ways and Means Advances,,Crore of ₹,Q2 2023,0.00,"48,677.00",
(xii) 364 day Treasury Bills,,Crore of ₹,Q2 2023,"4,47,711.79","4,45,283.50",
(xiii) Gold Bonds ^,,Crore of ₹,Q2 2023,"57,285.75","52,776.40",
(xiv) Compensation & other bonds ##,,Crore of ₹,Q2 2023,"97,437.53","1,01,708.29",
(xv) Securities issued to International Financial Institutions,,Crore of ₹,Q2 2023,"97,973.32","96,624.73",
(xvi) Securities against Small Savings,,Crore of ₹,Q2 2023,"23,90,982.54","22,79,780.41",
(xvii) Cash Management Bills,,Crore of ₹,Q2 2023,0.00,0.00,
(xviii) Special Securities Issued to Public Sector Banks,,Crore of ₹,Q2 2023,"2,90,947.60","2,90,947.60",
Total-Internal debt,,Crore of ₹,Q2 2023,"1,35,33,868.05","1,30,73,731.70",
2. External debt #,,Crore of ₹,Q2 2023,"9,20,105.79","9,31,945.55",
Total Public debt,,Crore of ₹,Q2 2023,"1,44,53,973.84","1,40,05,677.25",
B. Public Account  - Other Liabilities,,Crore of ₹,Q2 2023,"17,35,593.74","16,51,922.30",
1.  National Small Savings Fund ^^,,Crore of ₹,Q2 2023,"4,61,807.17","4,46,232.08",
2. State Provident Funds,,Crore of ₹,Q2 2023,"2,62,771.23","2,62,280.31",
3. Other Accounts,,Crore of ₹,Q2 2023,"4,09,770.65","4,10,080.12",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of ₹,Q2 2023,"99,606.36","99,606.36",
(ii) Other items.,,Crore of ₹,Q2 2023,"3,10,164.29","3,10,473.76",
4. Reserve Funds & Deposits,,Crore of ₹,Q2 2023,"6,01,244.69","5,33,329.79",
(i) Bearing interest,,Crore of ₹,Q2 2023,"2,70,152.98","2,63,762.46",
(ii) Not bearing interest,,Crore of ₹,Q2 2023,"3,31,091.71","2,69,567.33",
TOTAL DEBT,,Crore of ₹,Q2 2023,"1,61,89,567.58","1,56,57,599.55",
Guaranteed debt,,,,,,"55,289.79"
(i) Total guaranteed debt,,Crore of ₹,Q2 2023,"5,36,679.96","5,22,822.83",
(ii) Outstanding guaranteed debt,,Crore of ₹,Q2 2023,"4,39,660.45","4,25,583.45",
"Note: * Current, ** Previous, ***Q2= Second Quarter  (Apr-Jun 2023)",,,,,,
https://dea.gov.in/central-government-borrowings,,,,,,
"# Includes net cumulative SDR allocation from March 2004 onwards(Crore of ₹)
180574.79
183020.55",,,,,,
"^ Includes Gold Monetisation Scheme
## Includes Special Securities issued against POLIF",,,,,,
^^ including Investment in -,,,,,,
"(i) Special Securities of States under NSSF (Current Quarter):
347153.30
85350.00
(ii) NSSF Investments in public agencies (Current Qtr):",,,,,,
EBR and cash balance not adjusted in Total Debt,,,,,,
