0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage 
change from"
1. Public debt (2+3),₹ Crore,Apr/21 - Jun/21,,"1,10,76,084.67","1,02,39,307.38","previous to 
8.2%"
2. External debt,₹ Crore,Apr/21 - Jun/21,,"6,72,100.63","6,55,941.19",2.5%
3. Internal debt,₹ Crore,Apr/21 - Jun/21,,"1,04,03,984.04","95,83,366.19",8.6%
4. Other liabilities,₹ Crore,Apr/21 - Jun/21,,"10,15,108.28","13,82,473.26",-26.6%
5. TOTAL DEBT (1+4),₹ Crore,Apr/21 - Jun/21,,"1,20,91,192.95","1,16,21,780.64",4.0%
Guaranteed debt,,,,,,
I.  Total guaranteed debt,₹ Crore,Apr/21 - Jun/21,,"5,27,931.87","5,24,339.19",0.7%
II. Outstanding guaranteed debt,₹ Crore,Apr/21 - Jun/21,,"3,95,930.88","3,68,835.66",7.3%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,"Unit 
Description","Date of Latest 
Observation***","Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**","More info 
Metadata Home"
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i) Market loans,,Crore of ₹,Q2 2021,"73,49,371.30","71,32,849.30","73,49,391.57"
(ii) Market loans in course of repayment,,Crore of ₹,Q2 2021,20.27,18.18,
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of ₹,Q2 2021,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of ₹,Q2 2021,"2,39,535.26","93,296.60",
(v) 91 day T.Bs funded into Spl Securities,,Crore of ₹,Q2 2021,0.00,0.00,
(vi) Special Securities converted into Marketable Securities,,Crore of ₹,Q2 2021,"33,410.99","35,687.95",35687.95
(vii) Other Special Securities issued to RBI,,Crore of ₹,Q2 2021,0.00,0.00,
(viii) 14 day Treasury Bills,,Crore of ₹,Q2 2021,"1,27,943.29","2,05,575.74",
(ix) 182 day Treasury Bills,,Crore of ₹,Q2 2021,"2,85,838.74","1,39,413.74",
(x) Market stabilisation Scheme,,Crore of ₹,Q2 2021,0.00,0.00,
(xi) Ways and Means Advances,,Crore of ₹,Q2 2021,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of ₹,Q2 2021,"3,75,953.00","4,58,240.00",
(xiii) Gold Bonds ^,,Crore of ₹,Q2 2021,"35,536.97","32,442.26",
(xiv) Compensation & other bonds,,Crore of ₹,Q2 2021,"96,851.39","93,799.90",
(xv) Securities issued to International Financial Institutions,,Crore of ₹,Q2 2021,"99,144.25","1,00,301.07",
(xvi) Securities against Small Savings,,Crore of ₹,Q2 2021,"14,74,030.98","10,05,393.85",
(xvii) Cash Management Bills,,Crore of ₹,Q2 2021,0.00,0.00,
(xviii) Special Securities Issued to Public Sector Banks,,Crore of ₹,Q2 2021,"2,86,347.60","2,86,347.60",
Total-Internal debt,,Crore of ₹,Q2 2021,"1,04,03,984.04","95,83,366.19",
2. External debt #,,Crore of ₹,Q2 2021,"6,72,100.63","6,55,941.19",
Total Public debt,,Crore of ₹,Q2 2021,"1,10,76,084.67","1,02,39,307.38",
B. Other Liabilities,,Crore of ₹,Q2 2021,"10,15,108.28","13,82,473.26",
1.  National Small Savings Fund,,Crore of ₹,Q2 2021,"84,262.55","4,69,874.38",
2. State Provident Funds,,Crore of ₹,Q2 2021,"2,49,400.68","2,46,840.42",
3. Other Accounts,,Crore of ₹,Q2 2021,"3,33,898.90","3,33,378.81",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of ₹,Q2 2021,"1,00,676.72","1,00,701.54",
(ii) Other items.,,Crore of ₹,Q2 2021,"2,33,222.18","2,32,677.27",
4. Reserve Funds & Deposits,,Crore of ₹,Q2 2021,"3,47,546.15","3,32,379.65",
(i) Bearing interest,,Crore of ₹,Q2 2021,"2,14,318.06","2,15,473.27",
(ii) Not bearing interest,,Crore of ₹,Q2 2021,"1,33,228.09","1,16,906.38",
TOTAL DEBT,,Crore of ₹,Q2 2021,"1,20,91,192.95","1,16,21,780.64",
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of ₹,Q2 2021,"5,27,931.87","5,24,339.19",
(ii) Outstanding guaranteed debt,,Crore of ₹,Q2 2021,"3,95,930.88","3,68,835.66",
"Note: * Current, ** Previous, ***Q2= Second Quarter  (Apr - Jun 2021)",,,,,,
https://dea.gov.in/central-government-borrowings,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-March 2021,,,,,,
^ Includes Gold Monetisation Scheme,,,,,,
