0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage 
change from"
1. Public debt (2+3),` Crore,Jan/21 - Mar/21,,"1,02,39,307.38","99,57,918.11","previous to 
2.8%"
2. External debt,` Crore,Jan/21 - Mar/21,,"6,55,941.19","6,45,427.06",1.6%
3. Internal debt,` Crore,Jan/21 - Mar/21,,"95,83,366.19","93,12,491.05",2.9%
4. Other liabilities,` Crore,Jan/21 - Mar/21,,"13,82,473.26","9,68,404.33",42.8%
5. TOTAL DEBT (1+4),` Crore,Jan/21 - Mar/21,,"1,16,21,780.64","1,09,26,322.44",6.4%
Guaranteed debt,,,,,,
I.  Total guaranteed debt,` Crore,Jan/21 - Mar/21,,"5,24,339.19","5,16,303.34",1.6%
II. Outstanding guaranteed debt,` Crore,Jan/21 - Mar/21,,"3,68,835.66","3,80,002.83",-2.9%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,"Unit 
Description","Date of Latest 
Observation***","Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**","More info 
Metadata Home"
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i) Market loans,,Crore of `,Q1 2021,"71,32,849.30","68,38,839.88",
(ii) Market loans in course of repayment,,Crore of `,Q1 2021,18.18,18.38,
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of `,Q1 2021,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q1 2021,"93,296.60","2,28,812.22",
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q1 2021,0.00,0.00,
(vi) Special Securities converted into Marketable Securities,,Crore of `,Q1 2021,"35,687.95","35,687.95",
(vii) Other Special Securities issued to RBI,,Crore of `,Q1 2021,0.00,0.00,
(viii) 14 day Treasury Bills,,Crore of `,Q1 2021,"2,05,575.74","1,53,498.62",
(ix) 182 day Treasury Bills,,Crore of `,Q1 2021,"1,39,413.74","1,98,796.29",
(x) Market stabilisation Scheme,,Crore of `,Q1 2021,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q1 2021,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q1 2021,"4,58,240.00","4,12,120.00",
(xiii) Gold Bonds ^,,Crore of `,Q1 2021,"32,442.26","27,134.23",
(xiv) Compensation & other bonds,,Crore of `,Q1 2021,"93,799.90","89,707.65",
(xv) Securities issued to International Financial Institutions,,Crore of `,Q1 2021,"1,00,301.07","99,059.87",
(xvi) Securities against Small Savings,,Crore of `,Q1 2021,"10,05,393.85","9,56,968.36",
(xvii) Cash Management Bills,,Crore of `,Q1 2021,0.00,0.00,
(xviii) Special Securities Issued to Public Sector Banks,,Crore of `,Q1 2021,"2,86,347.60","2,71,847.60",
Total-Internal debt,,Crore of `,Q1 2021,"95,83,366.19","93,12,491.05",
2. External debt #,,Crore of `,Q1 2021,"6,55,941.19","6,45,427.06",
Total Public debt,,Crore of `,Q1 2021,"1,02,39,307.38","99,57,918.11",
B. Other Liabilities,,Crore of `,Q1 2021,"13,82,473.26","9,68,404.33",
1.  National Small Savings Fund,,Crore of `,Q1 2021,"4,69,874.38","96,155.50",
2. State Provident Funds,,Crore of `,Q1 2021,"2,46,840.42","2,37,957.20",
3. Other Accounts,,Crore of `,Q1 2021,"3,33,378.81","3,29,381.04",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q1 2021,"1,00,701.54","1,00,791.68",
(ii) Other items.,,Crore of `,Q1 2021,"2,32,677.27","2,28,589.36",
4. Reserve Funds & Deposits,,Crore of `,Q1 2021,"3,32,379.65","3,04,910.59",
(i) Bearing interest,,Crore of `,Q1 2021,"2,15,473.27","1,69,567.16",
(ii) Not bearing interest,,Crore of `,Q1 2021,"1,16,906.38","1,35,343.43",
TOTAL DEBT,,Crore of `,Q1 2021,"1,16,21,780.64","1,09,26,322.44",
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q1 2021,"5,24,339.19","5,16,303.34",
(ii) Outstanding guaranteed debt,,Crore of `,Q1 2021,"3,68,835.66","3,80,002.83",
"Note: * Current, ** Previous, ***Q1= Fourth Quarter  (Jan - Mar 2020)",,,,,,
https://dea.gov.in/central-government-borrowings,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-March 2021,,,,,,
^ Includes Gold Monetisation Scheme,,,,,,
