0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,Jul/20 - Sep/20,,"97,46,769.51","92,28,712.16",5.6%
2. External debt,` Crore,Jul/20 - Sep/20,,"6,30,460.65","6,25,055.55",0.9%
3. Internal debt,` Crore,Jul/20 - Sep/20,,"91,16,308.86","86,03,656.61",6.0%
4. Other liabilities,` Crore,Jul/20 - Sep/20,,"9,57,524.15","9,06,887.40",5.6%
5. TOTAL DEBT (1+4),` Crore,Jul/20 - Sep/20,,"1,07,04,293.66","1,01,35,599.56",5.6%
Guaranteed debt,,,,,,
I.  Total guaranteed debt,` Crore,Jul/20 - Sep/20,,"4,38,470.45","4,58,058.02",-4.3%
II. Outstanding guaranteed debt,` Crore,Jul/20 - Sep/20,,"3,57,002.78","3,18,958.67",11.9%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,"Unit 
Description","Date of Latest 
Observation***","Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i) Market loans,,Crore of `,Q3 2020,"66,21,145.96","62,00,794.02",
(ii) Market loans in course of repayment,,Crore of `,Q3 2020,19.15,19.15,
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of `,Q3 2020,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q3 2020,"2,30,783.09","1,99,596.13",
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q3 2020,0.00,0.00,
"(vi) Special Securities converted into Marketable 
Securities",,Crore of `,Q3 2020,"35,687.95","35,687.95",
(vii) Other Special Securities issued to RBI,,Crore of `,Q3 2020,0.00,0.00,
(viii) 14 day Treasury Bills,,Crore of `,Q3 2020,"1,07,300.61","1,47,912.70",
(ix) 182 day Treasury Bills,,Crore of `,Q3 2020,"3,49,193.13","2,81,636.60",
(x) Market stabilisation Scheme,,Crore of `,Q3 2020,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q3 2020,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q3 2020,"4,02,310.00","3,20,130.00",
(xiii) Gold Bonds ^,,Crore of `,Q3 2020,"24,184.36","17,166.20",
(xiv) Compensation & other bonds,,Crore of `,Q3 2020,"83,696.26","82,337.83",
"(xv) Securities issued to International Financial 
Institutions",,Crore of `,Q3 2020,"96,002.19","95,998.87",
(xvi) Securities against Small Savings,,Crore of `,Q3 2020,"8,99,638.56","8,76,029.56",
(xvii) Cash Management Bills,,Crore of `,Q3 2020,0.00,"80,000.00",
(xviii) Special Securities Issued to Public Sector Banks,,Crore of `,Q3 2020,"2,66,347.60","2,66,347.60",
Total-Internal debt,,Crore of `,Q3 2020,"91,16,308.86","86,03,656.61",
2. External debt #,,Crore of `,Q3 2020,"6,30,460.65","6,25,055.55",
Total Public debt,,Crore of `,Q3 2020,"97,46,769.51","92,28,712.16",
B. Other Liabilities,,Crore of `,Q3 2020,"9,57,524.15","9,06,887.40",
1.  National Small Savings Fund,,Crore of `,Q3 2020,"96,617.22","51,514.17",
2. State Provident Funds,,Crore of `,Q3 2020,"2,38,079.60","2,36,908.39",
3. Other Accounts,,Crore of `,Q3 2020,"3,29,382.20","3,29,849.76",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q3 2020,"1,00,901.21","1,01,078.58",
(ii) Other items.,,Crore of `,Q3 2020,"2,28,480.99","2,28,771.18",
4. Reserve Funds & Deposits,,Crore of `,Q3 2020,"2,93,445.13","2,88,615.08",
(i) Bearing interest,,Crore of `,Q3 2020,"1,64,317.68","1,61,616.80",
(ii) Not bearing interest,,Crore of `,Q3 2020,"1,29,127.45","1,26,998.28",
TOTAL DEBT,,Crore of `,Q3 2020,"1,07,04,293.66","1,01,35,599.56",
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q3 2020,"4,38,470.45","4,58,058.02",
(ii) Outstanding guaranteed debt,,Crore of `,Q3 2020,"3,57,002.78","3,18,958.67",
"Note: * Current, ** Previous, ***Q3= Third Quarter  (Jul - Sep 2020)",,,,,,
https://dea.gov.in/central-government-borrowings,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-September 2020,,,,,,
^ Includes Gold Monetisation Scheme,,,,,,
