0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage 
change from"
1. Public debt (2+3),₹ Crore,Jul/22 - Sep/22,,"1,31,15,166.17","1,28,72,723.45","previous to 
1.9%"
2. External debt,₹ Crore,Jul/22 - Sep/22,,"8,63,630.19","8,51,805.95",1.4%
3. Internal debt,₹ Crore,Jul/22 - Sep/22,,"1,22,51,535.98","1,20,20,917.50",1.9%
4. Other liabilities^^,₹ Crore,Jul/22 - Sep/22,,"11,39,183.77","12,31,126.17",-7.5%
5. TOTAL DEBT (1+4),₹ Crore,Jul/22 - Sep/22,,"1,42,54,349.94","1,41,03,849.62",1.1%
Guaranteed debt,,,,,,
I.  Total guaranteed debt,₹ Crore,Jul/22 - Sep/22,,"5,54,907.95","5,02,241.63",10.5%
II. Outstanding guaranteed debt,₹ Crore,Jul/22 - Sep/22,,"4,39,003.97","4,06,872.21",7.9%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,"Unit 
Description","Date of Latest 
Observation***","Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**","More info 
Metadata Home"
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i) Market loans,,Crore of ₹,Q3 2022,"86,03,600.25","82,81,911.42",
(ii) Market loans in course of repayment,,Crore of ₹,Q3 2022,16.33,16.33,
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of ₹,Q3 2022,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of ₹,Q3 2022,"1,68,610.23","2,41,010.10",
(v) 91 day T.Bs funded into Spl Securities,,Crore of ₹,Q3 2022,0.00,0.00,
(vi) Special Securities converted into Marketable Securities,,Crore of ₹,Q3 2022,"24,687.95","33,359.99",
(vii) Other Special Securities issued to RBI,,Crore of ₹,Q3 2022,0.00,0.00,
(viii) 14 day Treasury Bills,,Crore of ₹,Q3 2022,"1,18,279.33","1,73,714.89",
(ix) 182 day Treasury Bills,,Crore of ₹,Q3 2022,"2,86,149.27","3,42,217.96",
(x) Market stabilisation Scheme,,Crore of ₹,Q3 2022,0.00,0.00,
(xi) Ways and Means Advances,,Crore of ₹,Q3 2022,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of ₹,Q3 2022,"4,65,445.18","4,38,825.26",
(xiii) Gold Bonds ^,,Crore of ₹,Q3 2022,"48,472.53","46,955.04",
(xiv) Compensation & other bonds,,Crore of ₹,Q3 2022,"1,03,980.39","1,09,654.91",
(xv) Securities issued to International Financial Institutions,,Crore of ₹,Q3 2022,"97,405.00","1,00,786.02",
(xvi) Securities against Small Savings,,Crore of ₹,Q3 2022,"20,43,941.92","19,61,517.98",
(xvii) Cash Management Bills,,Crore of ₹,Q3 2022,0.00,0.00,
(xviii) Special Securities Issued to Public Sector Banks,,Crore of ₹,Q3 2022,"2,90,947.60","2,90,947.60",
Total-Internal debt,,Crore of ₹,Q3 2022,"1,22,51,535.98","1,20,20,917.50",
2. External debt #,,Crore of ₹,Q3 2022,"8,63,630.19","8,51,805.95",
Total Public debt,,Crore of ₹,Q3 2022,"1,31,15,166.17","1,28,72,723.45",
B. Public Account  - Other Liabilities,,Crore of ₹,Q3 2022,"11,39,183.77","12,31,126.17",
1.  National Small Savings Fund,,Crore of ₹,Q3 2022,"41,019.71","61,741.00",
2. State Provident Funds,,Crore of ₹,Q3 2022,"2,53,044.00","2,53,253.71",
3. Other Accounts,,Crore of ₹,Q3 2022,"4,54,044.90","4,51,354.00",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of ₹,Q3 2022,"99,995.04","1,00,125.40",
(ii) Other items.,,Crore of ₹,Q3 2022,"3,54,049.86","3,51,228.60",
4. Reserve Funds & Deposits,,Crore of ₹,Q3 2022,"3,91,075.16","4,64,777.46",
(i) Bearing interest,,Crore of ₹,Q3 2022,"2,38,652.12","2,54,488.32",
(ii) Not bearing interest,,Crore of ₹,Q3 2022,"1,52,423.04","2,10,289.14",
TOTAL DEBT,,Crore of ₹,Q3 2022,"1,42,54,349.94","1,41,03,849.62",
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of ₹,Q3 2022,"5,54,907.95","5,02,241.63",
(ii) Outstanding guaranteed debt,,Crore of ₹,Q3 2022,"4,39,003.97","4,06,872.21",
"Note: * Current, ** Previous, ***Q3= Third Quarter  (Jul - Sep 2022)",,,,,,
https://dea.gov.in/central-government-borrowings,,,,,,
# Includes net cumulative SDR allocation from March 2004 onwards ( ₹173450.95 crore for 30th June 2022 and ₹172721.19 crore,,,,,,
for 30th September 2022),,,,,,
^ Includes Gold Monetisation Scheme,,,,,,
"^^ Excluding Investment in special securities of States under NSSF, NSSF Investments in public agencies, EBRs and adjusted Cash Balance at 
quarter end",,,,,,
