0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage 
change from"
1. Public debt (2+3),₹ Crore,Jul/21 - Sep/21,,"1,15,01,024.52","1,10,76,084.67","previous to 
3.8%"
2. External debt,₹ Crore,Jul/21 - Sep/21,,"8,05,551.68","6,72,100.63",19.9%
3. Internal debt,₹ Crore,Jul/21 - Sep/21,,"1,06,95,472.84","1,04,03,984.04",2.8%
4. Other liabilities,₹ Crore,Jul/21 - Sep/21,,"10,70,722.19","10,15,108.28",5.5%
5. TOTAL DEBT (1+4),₹ Crore,Jul/21 - Sep/21,,"1,25,71,746.71","1,20,91,192.95",4.0%
Guaranteed debt,,,,,,
I.  Total guaranteed debt,₹ Crore,Jul/21 - Sep/21,,"5,15,078.28","5,27,931.87",-2.4%
II. Outstanding guaranteed debt,₹ Crore,Jul/21 - Sep/21,,"3,81,332.67","3,68,835.66",3.4%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,"Unit 
Description","Date of Latest 
Observation***","Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**","More info 
Metadata Home"
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i) Market loans,,Crore of ₹,Q3 2021,"76,99,835.14","73,49,371.30",
(ii) Market loans in course of repayment,,Crore of ₹,Q3 2021,16.84,20.27,
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of ₹,Q3 2021,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of ₹,Q3 2021,"2,03,565.80","2,39,535.26",
(v) 91 day T.Bs funded into Spl Securities,,Crore of ₹,Q3 2021,0.00,0.00,
(vi) Special Securities converted into Marketable Securities,,Crore of ₹,Q3 2021,"33,410.99","33,410.99",
(vii) Other Special Securities issued to RBI,,Crore of ₹,Q3 2021,0.00,0.00,
(viii) 14 day Treasury Bills,,Crore of ₹,Q3 2021,"1,21,435.71","1,27,943.29",
(ix) 182 day Treasury Bills,,Crore of ₹,Q3 2021,"2,55,012.75","2,85,838.74",
(x) Market stabilisation Scheme,,Crore of ₹,Q3 2021,0.00,0.00,
(xi) Ways and Means Advances,,Crore of ₹,Q3 2021,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of ₹,Q3 2021,"3,05,003.00","3,75,953.00",
(xiii) Gold Bonds ^,,Crore of ₹,Q3 2021,"39,794.97","35,536.97",
(xiv) Compensation & other bonds,,Crore of ₹,Q3 2021,"1,01,141.90","96,851.39",
(xv) Securities issued to International Financial Institutions,,Crore of ₹,Q3 2021,"1,02,527.83","99,144.25",
(xvi) Securities against Small Savings,,Crore of ₹,Q3 2021,"15,47,380.31","14,74,030.98",
(xvii) Cash Management Bills,,Crore of ₹,Q3 2021,0.00,0.00,
(xviii) Special Securities Issued to Public Sector Banks,,Crore of ₹,Q3 2021,"2,86,347.60","2,86,347.60",
Total-Internal debt,,Crore of ₹,Q3 2021,"1,06,95,472.84","1,04,03,984.04",
2. External debt #,,Crore of ₹,Q3 2021,"8,05,551.68","6,72,100.63",
Total Public debt,,Crore of ₹,Q3 2021,"1,15,01,024.52","1,10,76,084.67",
B. Other Liabilities,,Crore of ₹,Q3 2021,"10,70,722.19","10,15,108.28",
1.  National Small Savings Fund,,Crore of ₹,Q3 2021,"1,22,631.10","84,262.55",
2. State Provident Funds,,Crore of ₹,Q3 2021,"2,46,889.22","2,49,400.68",
3. Other Accounts,,Crore of ₹,Q3 2021,"3,33,020.05","3,33,898.90",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of ₹,Q3 2021,"1,00,628.30","1,00,676.72",
(ii) Other items.,,Crore of ₹,Q3 2021,"2,32,391.75","2,33,222.18",
4. Reserve Funds & Deposits,,Crore of ₹,Q3 2021,"3,68,181.82","3,47,546.15",
(i) Bearing interest,,Crore of ₹,Q3 2021,"2,20,906.38","2,14,318.06",
(ii) Not bearing interest,,Crore of ₹,Q3 2021,"1,47,275.44","1,33,228.09",
TOTAL DEBT,,Crore of ₹,Q3 2021,"1,25,71,746.71","1,20,91,192.95",
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of ₹,Q3 2021,"5,15,078.28","5,27,931.87",
(ii) Outstanding guaranteed debt,,Crore of ₹,Q3 2021,"3,81,332.67","3,68,835.66",
"Note: * Current, ** Previous, ***Q3= Third Quarter  (Jul - Sep 2021)",,,,,,
https://dea.gov.in/central-government-borrowings,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-September 2021,,,,,,
^ Includes Gold Monetisation Scheme,,,,,,
